"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"258","Kameron Johnson","TB","WR","16883","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.1052347083926,0.451233005064201,12.5727169274538,4.25107804787372,0.0906970128022759,0.0814195407628816,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Marquez Valdes-Scantling","BUF","WR","13793","weighted",NA,NA,NA,NA,NA,NA,0.0399102132435466,0.0955603368272942,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.892294372294372,0.14274961264637,12.5655411255411,3.54652788230056,0.0685137085137085,0.0524726119362169,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","KhaDarel Hodge","ATL","WR","13963","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.985422469823584,0.330573104351941,14.1018384401114,5.11761351552371,0.0696378830083566,0.0565786664256952,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","A.T. Perry","NO","WR","16196","weighted",NA,NA,NA,NA,NA,NA,0.0200609756097561,0.0282842712474619,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.703490853658537,0.700035713374682,9.95358231707317,9.93485027567099,0.109725609756098,0.127279220613579,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Hamstring",2024,5
"262","Mason Tipton","NO","WR","16858","weighted",NA,NA,NA,NA,NA,NA,0.196969696969697,0.213778451556361,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.01440559440559,0.329579835644148,10.6476853146853,3.81420180077291,0.0700909090909091,0.0464810871969828,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Skyy Moore","KC","WR","15766","weighted",NA,NA,NA,NA,NA,NA,0.251428242074928,0.4143761939088,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.913048991354467,0.453747821070341,11.0507550432277,5.58689139118648,0.048835734870317,0.0589800264452229,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Jermaine Burton","CIN","WR","16632","weighted",NA,NA,NA,NA,NA,NA,0.0459304084720121,0.0527343264284756,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.496467473524962,0.318015438668513,7.9996293494705,6.10187111495005,0.0359228441754917,0.0456117432232948,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Devaughn Vele","DEN","WR","16788","weighted",NA,NA,NA,NA,NA,NA,0.225699697428139,0.335066581552105,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.711293494704992,0.488352500758747,7.21808623298033,5.72345806310992,0.0406883509833585,0.0459087922286582,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Xavier Gipson","NYJ","WR","16416","weighted",NA,NA,NA,NA,NA,NA,1.3353627311522,0.493785993424431,0.0291278093883357,0.0456545068184768,0,0,NA,NA,NA,NA,0.06,1.60671664747888e-17,0,0,0.994068278805121,0.228419136915387,10.7514580369844,2.43184177829094,0.058172119487909,0.0428103259383615,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Cedric Tillman","CLE","WR","16191","weighted",NA,NA,NA,NA,NA,NA,0.316262857142857,0.394996899996426,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.802291428571429,0.638852809033991,7.35325142857143,4.84798768265651,0.0327771428571429,0.0446050541470308,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Robert Woods","HOU","WR","11228","weighted",NA,NA,NA,NA,NA,NA,0.0531377264710598,0.0787212121749173,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.657922077922078,0.561497916823618,7.37654641654642,4.46377297669188,0.0259066859066859,0.0394598333683085,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Cedrick Wilson","NO","WR","13652","weighted",NA,NA,NA,NA,NA,NA,0.00239077809798271,0.072358112835888,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.549458213256484,0.398948034426606,6.71678386167147,4.09144759180372,0.0357118155619597,0.0415555885271697,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
