rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
112,19562,Austin Ekeler,WAS,RB,5,CLE,0.0,0.0,0.0,30.5,0.2,2.7,20.8,0.1,,,0.0,0.0,9.5
113,20802,Justice Hill,BAL,RB,5,CIN,0.0,0.0,0.0,14.5,0.1,3.4,28.5,0.2,,,0.0,0.0,9.5
114,24967,Bucky Irving,TB,RB,5,ATL,0.0,0.0,0.0,46.6,0.3,1.5,10.1,0.1,,,0.0,0.0,9.5
115,22597,Jalen Tolbert,DAL,WR,5,PIT,0.0,0.0,0.0,0.2,0.0,3.5,41.2,0.3,,,0.0,0.0,9.4
116,24977,Rome Odunze,CHI,WR,5,CAR,0.0,0.0,0.0,0.1,0.0,3.1,45.3,0.3,,,0.0,0.0,9.4
117,21688,Cam Akers,HOU,RB,5,BUF,0.0,0.0,0.0,51.7,0.4,1.1,7.7,0.0,,,0.0,0.0,9.3
118,24173,Michael Wilson,ARI,WR,5,SF,0.0,0.0,0.0,0.1,0.0,3.4,40.7,0.3,,,0.0,0.0,9.3
119,24118,Tucker Kraft,GB,TE,5,LAR,0.0,0.0,0.0,0.0,0.0,3.7,37.4,0.3,,,0.0,0.0,9.2
120,20145,Allen Lazard,NYJ,WR,5,MIN,0.0,0.0,0.0,0.2,0.0,3.2,40.0,0.3,,,0.0,0.0,9.0
121,20943,Darius Slayton,NYG,WR,5,SEA,0.0,0.0,0.0,0.2,0.0,3.3,44.9,0.2,,,0.0,0.0,9.0
122,24374,Chase Brown,CIN,RB,5,BAL,0.0,0.0,0.0,37.7,0.2,2.0,14.2,0.1,,,0.0,0.0,9.0
123,18047,Demarcus Robinson,LAR,WR,5,GB,0.0,0.0,0.0,0.3,0.0,3.0,41.4,0.3,,,0.0,0.0,9.0
124,24902,Brandon Aubrey,DAL,K,5,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.0
125,19961,Ray-Ray McCloud III,ATL,WR,5,TB,0.0,0.0,0.0,5.1,0.0,3.4,37.7,0.2,,,0.0,0.0,8.9
126,23134,Cade Otton,TB,TE,5,ATL,0.0,0.0,0.0,0.0,0.0,3.5,31.5,0.3,,,0.0,0.0,8.4
