"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"92","Isiah Pacheco","RB","KC","LV","12.8","","0","0","0","0","11.6","51.5","0.40","2.7","19.1","0.13","-","-","-","-","-"
"93","Jonnu Smith","TE","MIA","GB","12.6","","0","0","0","0","0.3","1.8","0.02","4.8","52.2","0.39","-","-","-","-","-"
"94","Jordan Addison","WR","MIN","ARZ","12.6","","0","0","0","0","0.3","1.5","0.01","4.2","58.4","0.39","-","-","-","-","-"
"95","Michael Pittman","WR","IND","NE","12.4","","0","0","0","0","-","-","-","4.5","61.5","0.30","-","-","-","-","-"
"96","D'Andre Swift","RB","CHI","DET","12.4","","0","0","0","0","14.0","56.4","0.42","2.4","17.5","0.04","-","-","-","-","-"
"97","Brandon Allen","QB","SF","BUF","12.2","32","19","196","1.17","1.00","1.7","7.5","0.05","-","-","-","-","-","-","-","-"
"98","DeVonta Smith","WR","PHI","BLT","12.1","","0","0","0","0","-","-","-","4.4","56.2","0.35","-","-","-","-","-"
"99","Christian Watson","WR","GB","MIA","12.0","","0","0","0","0","0.3","1.7","0.02","3.8","60.0","0.32","-","-","-","-","-"
"100","Ameer Abdullah","RB","LV","KC","11.9","","0","0","0","0","10.7","39.4","0.28","3.5","22.7","0.10","-","-","-","-","-"
"101","T.J. Hockenson","TE","MIN","ARZ","11.8","","0","0","0","0","-","-","-","4.9","51.2","0.30","-","-","-","-","-"
"102","DK Metcalf","WR","SEA","NYJ","11.8","","0","0","0","0","-","-","-","4.2","57.8","0.30","-","-","-","-","-"
"103","Jameson Williams","WR","DET","CHI","11.5","","0","0","0","0","0.7","3.9","0.03","3.0","57.4","0.36","-","-","-","-","-"
"104","Marvin Harrison Jr.","WR","ARZ","MIN","11.4","","0","0","0","0","-","-","-","3.8","53.6","0.38","-","-","-","-","-"
"105","Tank Dell","WR","HST","JAX","11.4","","0","0","0","0","0.5","2.6","0.02","4.1","52.6","0.28","-","-","-","-","-"
"106","Elijah Moore","WR","CLV","DEN","11.3","","0","0","0","0","-","-","-","4.8","50.9","0.25","-","-","-","-","-"
"107","Jauan Jennings","WR","SF","BUF","11.2","","0","0","0","0","-","-","-","4.4","51.0","0.29","-","-","-","-","-"
"108","George Kittle","TE","SF","BUF","11.2","","0","0","0","0","-","-","-","4.4","45.0","0.39","-","-","-","-","-"
"109","Rachaad White","RB","TB","CAR","11.2","","0","0","0","0","10.0","41.0","0.35","2.5","18.6","0.12","-","-","-","-","-"
"110","Zach Ertz","TE","WAS","TEN","11.0","","0","0","0","0","-","-","-","4.8","44.6","0.29","-","-","-","-","-"
"111","Xavier Legette","WR","CAR","TB","11.0","","0","0","0","0","0.4","2.3","0.02","4.1","45.3","0.34","-","-","-","-","-"
"112","Hunter Henry","TE","NE","IND","10.9","","0","0","0","0","-","-","-","4.5","46.2","0.31","-","-","-","-","-"
"113","Rome Odunze","WR","CHI","DET","10.9","","0","0","0","0","0.2","1.2","0.01","4.3","53.4","0.18","-","-","-","-","-"
"114","Najee Harris","RB","PIT","CIN","10.8","","0","0","0","0","13.5","53.4","0.36","1.8","12.5","0.05","-","-","-","-","-"
"115","Will Dissly","TE","LAC","ATL","10.7","","0","0","0","0","-","-","-","4.6","43.7","0.28","-","-","-","-","-"
"116","Javonte Williams","RB","DEN","CLV","10.6","","0","0","0","0","10.0","41.3","0.34","2.4","17.3","0.06","-","-","-","-","-"
"117","Sam LaPorta","TE","DET","CHI","10.5","","0","0","0","0","-","-","-","3.8","45.8","0.36","-","-","-","-","-"
"118","DeAndre Hopkins","WR","KC","LV","10.5","","0","0","0","0","-","-","-","3.7","44.5","0.40","-","-","-","-","-"
"119","Cade Otton","TE","TB","CAR","10.4","","0","0","0","0","-","-","-","4.1","43.5","0.33","-","-","-","-","-"
"120","Noah Brown","WR","WAS","TEN","10.3","","0","0","0","0","-","-","-","3.9","49.7","0.24","-","-","-","-","-"
"121","Jaylen Warren","RB","PIT","CIN","10.3","","0","0","0","0","9.3","38.1","0.22","2.8","18.6","0.09","-","-","-","-","-"
"122","Jaylen Waddle","WR","MIA","GB","10.2","","0","0","0","0","0.2","0.9","0.01","3.7","49.5","0.25","-","-","-","-","-"
"123","Adam Thielen","WR","CAR","TB","10.2","","0","0","0","0","-","-","-","3.8","47.7","0.27","-","-","-","-","-"
"124","Quentin Johnston","WR","LAC","ATL","10.0","","0","0","0","0","0.3","1.4","0.01","3.1","44.2","0.38","-","-","-","-","-"
"125","Kyle Pitts","TE","ATL","LAC","9.8","","0","0","0","0","-","-","-","3.8","44.4","0.26","-","-","-","-","-"
"126","Dontayvion Wicks","WR","GB","MIA","9.5","","0","0","0","0","-","-","-","3.3","43.5","0.32","-","-","-","-","-"
"127","Devaughn Vele","WR","DEN","CLV","9.4","","0","0","0","0","-","-","-","3.7","43.3","0.25","-","-","-","-","-"
"128","Jeremy McNichols","RB","WAS","TEN","9.4","","0","0","0","0","5.7","21.6","0.19","3.2","22.2","0.12","-","-","-","-","-"
"129","Demario Douglas","WR","NE","IND","9.3","","0","0","0","0","0.4","2.3","0.02","4.1","40.8","0.14","-","-","-","-","-"
"130","Nick Chubb","RB","CLV","DEN","9.3","","0","0","0","0","14.0","51.0","0.42","0.9","6.5","0.03","-","-","-","-","-"
"131","Xavier Worthy","WR","KC","LV","9.3","","0","0","0","0","0.9","4.6","0.04","2.9","34.3","0.38","-","-","-","-","-"
"132","Wan'Dale Robinson","WR","NYG","DAL","9.2","","0","0","0","0","0.5","2.5","0.02","4.3","35.8","0.16","-","-","-","-","-"
"133","Dallas Goedert","TE","PHI","BLT","9.2","","0","0","0","0","-","-","-","3.9","42.0","0.20","-","-","-","-","-"
"134","Dalton Kincaid","TE","BUF","SF","9.2","","0","0","0","0","-","-","-","3.8","38.1","0.27","-","-","-","-","-"
"135","Deebo Samuel Sr.","WR","SF","BUF","9.2","","0","0","0","0","1.5","6.4","0.04","3.2","39.1","0.20","-","-","-","-","-"
"136","Josh Palmer","WR","LAC","ATL","9.2","","0","0","0","0","-","-","-","3.0","44.7","0.29","-","-","-","-","-"
"137","Mark Andrews","TE","BLT","PHI","9.0","","0","0","0","0","-","-","-","3.2","37.1","0.35","-","-","-","-","-"
"138","Alec Pierce","WR","IND","NE","8.9","","0","0","0","0","-","-","-","2.7","46.9","0.25","-","-","-","-","-"
"139","David Moore","WR","CAR","TB","8.8","","0","0","0","0","-","-","-","3.5","41.1","0.22","-","-","-","-","-"
