,,,,,Games,,Rushing,,,,,,,,
32,Dalvin Cook,MIN,26,rb,3,3,51,226,15,127,2.5,99,1.9,1,51
33,Tony Pollard,DAL,24,,5,0,51,325,18,180,3.5,145,2.8,3,17
34,Latavius Murray,BAL,31,rb,5,2,50,168,13,97,1.9,71,1.4,3,16.7
35,Chase Edmonds,ARI,25,rb,5,5,49,270,14,191,3.9,79,1.6,2,24.5
36,Miles Sanders,PHI,24,rb,5,5,48,214,9,156,3.3,58,1.2,10,4.8
37,Michael Carter,NYJ,22,rb,5,3,47,165,10,82,1.7,83,1.8,3,15.7
38,Zack Moss,BUF,24,,4,0,46,184,13,77,1.7,107,2.3,9,5.1
39,Sony Michel,LAR,26,rb,5,1,45,163,11,98,2.2,65,1.4,5,9
40,Elijah Mitchell,SFO,23,rb,3,2,45,189,10,111,2.5,78,1.7,3,15
41,Jalen Hurts,PHI,23,qb,5,5,43,256,18,206,4.8,50,1.2,5,8.6
42,Cordarrelle Patterson,ATL,30,rb,5,2,41,173,8,82,2,91,2.2,3,13.7
43,AJ Dillon,GNB,23,,5,0,38,166,8,84,2.2,82,2.2,3,12.7
44,Josh Jacobs,LVR,23,rb,3,3,38,122,8,79,2.1,43,1.1,3,12.7
45,Peyton Barber,LVR,27,,3,0,37,143,9,88,2.4,55,1.5,3,12.3
46,Josh Allen,BUF,25,qb,5,5,35,188,17,141,4,47,1.3,2,17.5
47,Myles Gaskin,MIA,24,rb,5,3,34,167,6,111,3.3,56,1.6,1,34
48,Damien Williams,CHI,29,rb,5,1,32,137,9,105,3.3,32,1,3,10.7
49,Trey Sermon,SFO,22,rb,4,2,31,135,7,71,2.3,64,2.1,2,15.5
50,Ty'Son Williams,BAL,25,rb,4,3,31,170,7,90,2.9,80,2.6,1,31
51,Daniel Jones,NYG,24,qb,5,5,30,197,11,180,6,17,0.6,1,30
52,Kyler Murray,ARI,24,qb,5,5,30,110,9,102,3.4,8,0.3,0,
53,Phillip Lindsay,HOU,27,,5,0,29,50,3,28,1,22,0.8,0,
54,Alex Collins,SEA,27,rb,4,1,28,124,8,96,3.4,28,1,1,28
55,Trey Lance,SFO,21,qb,4,1,27,133,6,88,3.3,45,1.7,0,
56,Ty Johnson,NYJ,24,rb,5,1,26,95,7,62,2.4,33,1.3,3,8.7
57,Ronald Jones II,TAM,24,rb,5,1,26,98,5,55,2.1,43,1.7,1,26
58,Darrel Williams,KAN,26,,5,0,26,99,9,63,2.4,36,1.4,1,26
59,Malcolm Brown,MIA,28,rb,5,2,25,91,4,51,2,40,1.6,2,12.5
60,Taylor Heinicke,WAS,28,qb,5,4,25,127,7,122,4.9,5,0.2,1,25
61,Kenyan Drake,LVR,27,rb,5,2,24,57,2,27,1.1,30,1.3,3,8
62,Carlos Hyde,JAX,31,,4,0,24,108,8,51,2.1,57,2.4,1,24
63,Trevor Lawrence,JAX,22,qb,5,5,24,110,7,82,3.4,28,1.2,1,24
64,Larry Rountree,LAC,22,,5,0,24,60,4,32,1.3,28,1.2,0,
65,Devontae Booker,NYG,29,,4,0,23,64,2,39,1.7,25,1.1,2,11.5
66,Patrick Mahomes,KAN,26,qb,5,5,23,153,12,143,6.2,10,0.4,0,
67,Sam Darnold,CAR,24,qb,5,5,22,62,9,54,2.5,8,0.4,2,11
68,Nyheim Hines,IND,25,,5,0,22,88,7,52,2.4,36,1.6,4,5.5
69,Tevin Coleman,NYJ,28,rb,4,1,21,73,5,34,1.6,39,1.9,0,
70,Kenneth Gainwell,PHI,22,,5,0,21,100,6,80,3.8,20,1,1,21
71,Khalil Herbert,CHI,23,,5,0,21,82,4,67,3.2,15,0.7,0,
72,Justin Fields,CHI,22,qb,5,3,20,59,4,40,2,19,1,2,10
73,Marlon Mack,IND,25,,3,0,20,85,6,58,2.9,27,1.4,1,20
74,Samaje Perine,CIN,26,,5,0,20,87,3,43,2.2,44,2.2,2,10
75,Jameis Winston,NOR,27,qb,5,5,20,86,9,52,2.6,34,1.7,0,
76,Justin Herbert,LAC,23,qb,5,5,19,60,7,42,2.2,18,0.9,1,19
77,Tony Jones,NOR,24,rb,4,1,19,77,4,49,2.6,28,1.5,2,9.5
78,Dak Prescott,DAL,28,qb,5,5,19,60,1,49,2.6,11,0.6,0,
79,David Johnson,HOU,30,,5,0,18,72,2,31,1.7,41,2.3,1,18
80,Baker Mayfield,CLE,26,qb,5,5,17,67,4,52,3.1,15,0.9,1,17
81,J.D. McKissic,WAS,28,rb,5,1,17,55,5,37,2.2,18,1.1,0,
82,Ryan Tannehill,TEN,33,qb,5,5,17,130,10,121,7.1,9,0.5,0,
83,Russell Wilson,SEA,33,qb,5,5,17,68,6,63,3.7,5,0.3,0,
84,Jacoby Brissett,MIA,29,qb,5,3,16,57,7,51,3.2,6,0.4,0,
85,Derek Carr,LVR,30,qb,5,5,16,29,4,27,1.7,2,0.1,0,
86,Taysom Hill,NOR,31,qb,5,4,16,77,8,34,2.1,43,2.7,6,2.7
87,Matthew Stafford,LAR,33,qb,5,5,16,14,3,12,0.8,2,0.1,0,
88,Carson Wentz,IND,29,qb,5,5,16,73,4,69,4.3,4,0.3,0,
89,Jimmy Garoppolo,SFO,30,qb,4,4,15,26,5,26,1.7,0,0,0,
90,Salvon Ahmed,MIA,23,,5,0,14,27,0,9,0.6,18,1.3,1,14
91,Teddy Bridgewater,DEN,29,qb,5,5,13,57,5,37,2.8,20,1.5,1,13
92,Joe Burrow,CIN,25,qb,5,5,12,24,3,15,1.3,9,0.8,0,
93,Rhamondre Stevenson,NWE,23,,2,0,12,25,1,7,0.6,18,1.5,0,
94,Royce Freeman,CAR,25,,5,0,11,31,3,20,1.8,11,1,0,
95,Jared Goff,DET,27,qb,5,5,11,72,3,72,6.5,0,0,0,
96,Justin Jackson,LAC,25,,4,0,10,22,2,8,0.8,14,1.4,0,
97,Mitchell Trubisky,BUF,27,,3,0,10,27,3,27,2.7,0,0,0,
98,James White,NWE,29,,3,0,10,38,4,30,3,8,0.8,0,
99,Tom Brady,TAM,44,qb,5,5,9,36,4,29,3.2,7,0.8,0,
100,Mac Jones,NWE,23,qb,5,5,8,30,5,28,3.5,2,0.3,0,
101,Jaret Patterson,WAS,22,,5,0,8,23,2,13,1.6,10,1.3,1,8
102,Benny Snell Jr.,PIT,23,,5,0,8,21,,15,1.9,6,0.8,1,8
103,Zach Wilson,NYJ,22,qb,5,5,8,22,2,20,2.5,2,0.3,0,
104,Ameer Abdullah,MIN,28,,5,0,7,30,0,16,2.3,14,2,1,7
105,Brandon Bolden,NWE,31,,5,0,7,29,1,19,2.7,10,1.4,1,7
106,Devonta Freeman,BAL,29,,4,0,7,42,1,35,5,7,1,0,
107,Wayne Gallman,ATL,27,,2,0,7,31,2,19,2.7,12,1.7,1,7
108,Kylin Hill,GNB,23,,5,0,7,22,1,16,2.3,6,0.9,0,
109,Kyle Juszczyk,SFO,30,fb,5,5,7,16,2,8,1.1,8,1.1,0,
110,Jeremy McNichols,TEN,26,,5,0,7,38,2,26,3.7,12,1.7,0,
111,Aaron Rodgers,GNB,38,qb,5,5,7,8,1,8,1.1,0,0,0,
112,Matt Ryan,ATL,36,qb,5,5,7,26,1,23,3.3,3,0.4,0,
113,Kirk Cousins,MIN,33,qb,5,5,6,41,3,39,6.5,2,0.3,0,
114,Blaine Gabbert,TAM,32,,2,0,6,-4,0,-4,-0.7,0,0,0,
115,Jamycal Hasty,SFO,25,,2,0,6,41,3,33,5.5,8,1.3,1,6
116,Rondale Moore,ARI,21,wr,5,2,6,50,2,11,1.8,39,6.5,2,3
117,Ben Roethlisberger,PIT,39,qb,5,5,6,9,1,9,1.5,0,0,0,
118,Deebo Samuel,SFO,25,wr,5,5,6,22,1,12,2,10,1.7,2,3
119,DeeJay Dallas,SEA,23,,5,0,5,12,2,8,1.6,4,0.8,0,
120,Davis Mills,HOU,23,qb,4,3,5,3,1,0,0,3,0.6,0,
121,Elijhaa Penny,NYG,28,rb,5,2,5,15,2,8,1.6,7,1.4,0,
122,Keith Smith,ATL,29,fb,5,2,5,18,2,17,3.4,1,0.2,0,
123,Tyrod Taylor,HOU,32,qb,2,2,5,55,1,31,6.2,24,4.8,1,5
124,Kalen Ballage,PIT,26,,5,0,4,0,,-2,-0.5,2,0.5,0,
125,Le'Veon Bell,BAL,29,,1,0,4,11,,10,2.5,1,0.3,0,
126,Giovani Bernard,TAM,30,,4,0,4,21,1,9,2.3,12,3,0,
127,Matt Breida,BUF,26,,2,0,4,4,,2,0.5,2,0.5,0,
128,Andy Dalton,CHI,34,qb,3,2,4,38,2,38,9.5,0,0,0,
129,Jalen Guyton,LAC,24,wr,5,2,4,32,2,13,3.3,19,4.8,0,
130,C.J. Ham,MIN,28,fb,5,3,4,4,2,1,0.3,3,0.8,0,
131,Tyreek Hill,KAN,27,wr,5,5,4,45,2,35,8.8,10,2.5,0,
132,D.J. Moore,CAR,24,wr,5,5,4,15,2,13,3.3,2,0.5,0,
133,Tua Tagovailoa,MIA,23,qb,2,2,4,1,1,1,0.3,0,0,0,
134,J.J. Taylor,NWE,23,,3,0,4,5,,4,1,1,0.3,0,
135,Robert Woods,LAR,29,wr,5,5,4,18,0,7,1.8,11,2.8,0,
136,Michael Burton,KAN,29,,5,0,3,9,3,5,1.7,4,1.3,0,
137,Trenton Cannon,2TM,27,,5,0,3,4,,2,0.7,2,0.7,0,
138,Corey Clement,DAL,27,,5,0,3,0,,-6,-2,6,2,1,3
139,Damarea Crockett,DEN,24,,5,0,3,7,,7,2.3,0,0,0,
140,Reggie Gilliam,BUF,24,fb,5,2,3,3,,0,0,3,1,0,
141,Mecole Hardman,KAN,23,wr,5,4,3,27,1,26,8.7,1,0.3,0,
142,Case Keenum,CLE,33,,1,0,3,0,1,0,0,0,0,0,
143,CeeDee Lamb,DAL,22,wr,5,5,3,16,1,10,3.3,6,2,0,
144,Jordan Love,GNB,23,,2,0,3,-3,0,-3,-1,0,0,0,
145,Laviska Shenault Jr.,JAX,23,wr,5,2,3,20,1,17,5.7,3,1,1,3
146,Geno Smith,SEA,31,,1,0,3,23,0,17,5.7,6,2,2,1.5
147,JuJu Smith-Schuster,PIT,25,wr,5,5,3,9,1,5,1.7,4,1.3,1,3
148,Freddie Swain,SEA,23,wr,5,2,3,21,1,17,5.7,4,1.3,0,
149,Jamal Agnew,JAX,26,,5,0,2,19,1,19,9.5,0,0,0,
150,Alex Armah,NOR,27,,4,0,2,7,2,4,2,3,1.5,0,
151,Cameron Batson,TEN,26,,3,0,2,15,1,11,5.5,4,2,0,
152,Odell Beckham Jr.,CLE,29,wr,3,3,2,14,1,12,6,2,1,0,
153,Braxton Berrios,NYJ,26,,5,0,2,15,0,11,5.5,4,2,0,
154,Kendrick Bourne,NWE,26,wr,5,2,2,28,2,10,5,18,9,1,2
155,DeAndre Carter,WAS,28,wr,5,1,2,13,1,10,5,3,1.5,0,
156,Chase Claypool,PIT,23,wr,4,3,2,22,1,19,9.5,3,1.5,0,
157,D'Wayne Eskridge,SEA,24,,1,0,2,22,1,12,6,10,5,1,2
158,Mike Glennon,NYG,32,,1,0,2,2,0,2,1,0,0,0,
159,Marquise Goodwin,CHI,31,,5,0,2,-1,0,-2,-1,1,0.5,0,
160,Travis Homer,SEA,23,,5,0,2,10,0,4,2,6,3,1,2
161,Andy Janovich,CLE,28,fb,5,2,2,0,1,-1,-0.5,1,0.5,0,
162,D'Ernest Johnson,CLE,25,,5,0,2,9,,6,3,3,1.5,0,
163,Joshua Kelley,LAC,24,,1,0,2,17,1,13,6.5,4,2,0,
164,Jarvis Landry,CLE,29,wr,2,2,2,13,2,9,4.5,4,2,0,
165,Colt McCoy,ARI,35,,1,0,2,-2,,-2,-1,0,0,0,
166,Isaiah McKenzie,BUF,26,wr,5,1,2,5,1,3,1.5,2,1,0,
167,Ty Montgomery,NOR,28,wr,5,1,2,7,0,5,2.5,2,1,0,
168,Raheem Mostert,SFO,29,rb,1,1,2,20,1,18,9,2,1,0,
169,Dare Ogunbowale,JAX,27,,5,0,2,3,0,3,1.5,0,0,0,
170,Jacques Patrick,SFO,24,,2,0,2,12,1,8,4,4,2,0,
171,Rashaad Penny,SEA,25,,1,0,2,8,,6,3,2,1,0,
172,Nathan Peterman,LVR,27,,1,0,2,2,1,2,1,0,0,0,
173,Henry Ruggs III,LVR,22,wr,5,5,2,9,0,8,4,1,0.5,0,
174,Mekhi Sargent,TEN,24,,3,0,2,4,1,3,1.5,1,0.5,0,
175,Jonnu Smith,NWE,26,te,5,3,2,11,0,2,1,9,4.5,0,
176,Kadarius Toney,NYG,22,wr,5,1,2,8,0,7,3.5,1,0.5,0,
177,Cedrick Wilson Jr.,DAL,26,wr,5,1,2,11,1,10,5,1,0.5,0,
178,Nelson Agholor,NWE,28,wr,5,5,1,4,0,4,4,0,0,1,1
179,Brandon Aiyuk,SFO,23,wr,5,4,1,8,0,5,5,3,3,0,
180,Jordan Akins,HOU,29,te,5,1,1,3,1,0,0,3,3,0,
181,Robby Anderson,CAR,28,wr,5,5,1,3,0,1,1,2,2,0,
182,Blake Bell,KAN,30,,5,0,1,2,1,2,2,0,0,0,
183,C.J. Board,NYG,28,,5,0,1,6,0,4,4,2,2,0,
184,Gary Brightwell,NYG,22,,5,0,1,4,,3,3,1,1,0,
185,A.J. Brown,TEN,24,wr,4,4,1,3,0,1,1,2,2,0,
186,Antonio Brown,TAM,33,wr,4,2,1,6,0,5,5,1,1,0,
187,Dyami Brown,WAS,22,wr,4,3,1,-4,0,-4,-4,0,0,0,
188,Marquise Brown,BAL,24,wr,5,5,1,5,1,2,2,3,3,0,
189,Rex Burkhead,HOU,31,,4,0,1,-1,0,-1,-1,0,0,0,
190,Ja'Marr Chase,CIN,21,wr,5,5,1,-2,0,-2,-2,0,0,1,1
191,Randall Cobb,GNB,31,,5,0,1,1,0,0,0,1,1,1,1
192,Brandin Cooks,HOU,28,wr,5,5,1,5,0,3,3,2,2,0,
193,Ashton Dulin,IND,24,wr,5,1,1,-7,0,-7,-7,0,0,1,1
194,Evan Engram,NYG,27,te,3,2,1,-3,0,-3,-3,0,0,0,
195,Ryan Fitzpatrick,WAS,39,qb,1,1,1,2,,2,2,0,0,0,
196,Feleipe Franks,ATL,24,,2,0,1,3,,1,1,2,2,0,
197,Jake Funk,LAR,23,,5,0,1,6,,3,3,3,3,0,
198,Jamie Gillan,CLE,24,p,5,0,1,0,,0,0,0,0,0,
199,Chris Godwin,TAM,25,wr,5,5,1,2,1,2,2,0,0,0,
200,Deonte Harris,NOR,24,,5,0,1,1,0,1,1,0,0,0,
201,Johnny Hekker,LAR,31,p,5,0,1,0,,0,0,0,0,0,
202,Alec Ingold,LVR,25,fb,5,1,1,0,0,0,0,0,0,0,
203,Christian Kirk,ARI,25,wr,5,3,1,11,1,9,9,2,2,0,
204,George Kittle,SFO,28,te,4,4,1,9,0,5,5,4,4,0,
205,Cooper Kupp,LAR,28,wr,5,5,1,-5,0,-5,-5,0,0,0,
206,Marcus Mariota,LVR,28,,1,0,1,31,1,28,28,3,3,0,
207,Jerick McKinnon,KAN,29,,5,0,1,2,0,0,0,2,2,0,
208,Darnell Mooney,CHI,24,wr,5,4,1,10,1,7,7,3,3,1,1
209,Gabe Nabers,LAC,24,,5,0,1,2,1,1,1,1,1,0,
210,K.J. Osborn,MIN,24,wr,5,3,1,10,1,8,8,2,2,0,
211,Michael Pittman Jr.,IND,24,wr,5,5,1,5,0,5,5,0,0,0,
212,Kalif Raymond,DET,27,wr,5,5,1,9,1,9,9,0,0,0,
213,Jalen Reagor,PHI,22,wr,5,4,1,12,1,6,6,6,6,1,1
214,Patrick Ricard,BAL,27,fb,5,3,1,2,1,1,1,1,1,0,
215,Chester Rogers,TEN,27,,5,0,1,9,0,5,5,4,4,0,
216,Curtis Samuel,WAS,25,wr,2,1,1,8,0,7,7,1,1,0,
217,Emmanuel Sanders,BUF,34,wr,5,4,1,7,1,3,3,4,4,0,
218,Anthony Schwartz,CLE,21,,5,0,1,17,1,17,17,0,0,0,
219,Sterling Shepard,NYG,28,wr,3,3,1,-9,0,-9,-9,0,0,1,1
220,Cam Sims,WAS,25,,4,0,1,7,0,5,5,2,2,0,
221,Kenny Stills,NOR,29,wr,3,2,1,1,0,1,1,0,0,0,
222,Tommy Tremble,CAR,23,te,5,3,1,7,1,7,7,0,0,0,
223,Jaylen Waddle,MIA,23,wr,5,5,1,2,0,1,1,1,1,0,
224,Dwayne Washington,NOR,27,,5,0,1,5,,0,0,5,5,0,
225,Preston Williams,MIA,24,wr,2,1,1,7,0,3,3,4,4,1,1
