player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ryan Tannehill,7014,QB,TEN,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,1,2,31,0,0,77.8,81.1,79.0,75.8,,,75.7,60.0,17,0,0,0,0,34,18,2,0,1,2,21,2,0.67,7.0,,1
Tua Tagovailoa,60326,QB,MIA,1,2,1,0,0.0,0,0,6,0,0,0,2,0.0,0,3,17,0,0,77.9,74.9,79.4,73.6,,58.4,64.2,60.1,5,0,0,0,1,41,3,1,0,2,2,9,13,4.33,3.0,0.0,1
Ty Johnson,45769,HB,NYJ,1,3,1,0,0.0,0,0,16,0,1,1,9,66.7,0,0,22,0,0,71.3,66.8,75.7,,27.1,75.1,61.2,,7,0,39,6,18,3,0,0,6,9,0,16,9,3.0,5.3,2.17,3
Tevin Coleman,9506,HB,SF,1,3,0,0,0.0,0,0,11,0,0,0,9,0.0,0,0,28,0,1,67.2,53.5,67.3,,,57.9,54.9,60.0,6,0,0,0,2,4,0,0,0,3,0,11,9,3.0,3.7,0.0,2
Scottie Phillips,83711,HB,HST,1,2,0,0,0.0,0,0,9,0,0,0,5,0.0,0,0,13,0,0,73.3,60.6,67.6,,,64.4,59.5,,5,0,7,1,2,2,0,0,1,3,0,9,5,2.5,4.5,3.5,2
Ben Roethlisberger,1732,QB,PIT,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,25,2,0,22.1,25.1,79.0,27.4,,,60.0,60.0,0,0,0,0,0,23,0,0,0,2,0,-1,0,0.0,-0.5,,0
Colt McCoy,5609,QB,NYG,1,1,1,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,21,0,0,78.3,69.9,78.3,69.7,,,57.8,60.0,4,0,0,0,0,20,4,1,0,1,0,3,10,5.0,1.5,,0
Andy Dalton,6187,QB,DAL,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,9,0,0,78.9,69.0,78.5,71.1,,60.0,51.1,60.0,6,0,0,0,1,18,8,2,0,0,0,8,3,1.5,4.0,0.0,0
Kyle Juszczyk,7912,FB,SF,1,2,0,0,0.0,0,0,4,0,0,0,3,0.0,0,1,28,0,0,66.7,58.7,77.8,,59.2,59.3,62.2,54.8,3,0,25,1,9,25,0,0,2,3,0,4,3,1.5,2.0,2.78,0
Carlos Hyde,8692,HB,SEA,1,2,1,1,90.9,50,0,55,1,0,1,47,587.5,1,1,29,0,1,67.8,57.6,77.2,,,41.2,70.9,,50,0,8,2,6,2,0,0,3,4,1,55,47,23.5,27.5,1.33,1
James White,8765,HB,NE,1,2,0,0,0.0,0,0,3,0,0,0,4,0.0,0,0,19,0,1,69.4,59.2,73.3,,64.8,68.9,52.4,60.0,4,0,52,4,16,5,0,0,4,6,0,3,4,2.0,1.5,3.25,1
Amari Cooper,9437,WR,DAL,1,2,0,0,0.0,0,0,-7,0,0,0,2,0.0,0,0,9,0,0,66.2,48.2,76.3,,,51.5,59.2,34.9,4,0,10,2,34,11,0,0,3,4,0,-7,2,1.0,-3.5,0.29,0
Curtis Samuel,11795,WR,CAR,1,2,0,0,0.0,0,0,6,2,0,0,7,0.0,0,0,5,1,0,18.1,45.2,78.3,,,43.6,61.6,55.6,5,0,42,4,36,19,0,0,9,6,0,6,7,3.5,3.0,1.17,2
Taysom Hill,12112,QB,NO,1,2,1,0,0.0,0,0,3,0,0,1,4,100.0,0,1,20,0,1,65.2,61.2,75.7,,,29.1,74.5,64.8,2,0,0,0,4,3,0,0,2,2,1,3,4,2.0,1.5,0.0,1
Dare Ogunbowale,12329,HB,JAX,1,2,1,1,100.0,17,0,17,0,1,1,14,466.7,1,1,15,0,1,66.7,73.4,0.0,,54.5,79.1,73.3,60.0,17,1,8,1,8,3,0,0,1,3,0,17,14,7.0,8.5,1.0,0
Joshua Kelley,13750,HB,LAC,1,2,0,0,0.0,0,0,8,0,0,0,4,0.0,0,1,27,0,1,69.4,66.7,70.5,,,57.6,65.8,,5,0,0,0,3,2,0,0,0,2,0,8,4,2.0,4.0,0.0,1
Rashaad Penny,27414,HB,SEA,1,2,0,0,0.0,0,0,6,0,0,0,6,0.0,0,0,29,0,1,65.2,58.3,68.3,,,56.7,59.2,,6,0,0,0,3,2,0,0,0,2,0,6,6,3.0,3.0,0.0,0
