"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"227","Rashee Rice","KC","wr","10","17","90.2","0","0","0","0","0","0","0","0","0","0","49.8527","33.661","404.8201","2.6887","0.3198","0.1599","0.0617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","D'Onta Foreman","CHI","rb","13","17","75.1","0","0","0","0","0","0","0","100.6094","451.7748","2.6087","9.3025","7.4205","56.8474","0.2155","0.8658","0.4329","0.151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Jauan Jennings","SF","wr","9","17","88.8","0","0","0","0","0","0","0","0","0","0","52.4426","34.382","397.5392","2.4603","0.4663","0.2331","0.0893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Taysom Hill","NO","te","11","17","68.4","0","0","0","0","0","0","0","56.9575","303.5245","3.0349","10.9271","8.0679","82.1952","0.6391","0.6794","0.3397","0.0253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Deven Thompkins","TB","wr","5","17","87.4","0","0","0","0","0","0","0","0","0","0","52.9005","32.0444","429.6496","2.1798","1.694","0.847","0.0767","1222.3687","0.9813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Josh Reynolds","DET","wr","9","17","86.8","0","0","0","0","0","0","0","0","0","0","49.0765","31.0057","407.508","2.5976","1.5154","0.7577","0.0828","1171.8074","0.9448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Will Dissly","SEA","te","5","17","66.8","0","0","0","0","0","0","0","0","0","0","34.919","27.1331","272.6643","2.0632","0.3531","0.1766","0.0976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","Isaiah Likely","BLT","te","13","17","65.6","0","0","0","0","0","0","0","0","0","0","36.8049","25.5817","275.5729","2.0721","0.2812","0.1406","0.0648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","Nick Westbrook-Ikhine","TEN","wr","7","17","85.2","0","0","0","0","0","0","0","0","0","0","46.028","29.9167","412.2173","2.3476","0.3246","0.1623","0.0515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","Jalen Tolbert","DAL","wr","7","17","82.6","0","0","0","0","0","0","0","5.4055","33.7488","0.2818","42.9174","27.1015","381.132","2.0557","0.3197","0.1598","0.0834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"237","Kenneth Gainwell","PHI","rb","10","17","66.8","0","0","0","0","0","0","0","55.3126","252.4716","2.3288","17.0652","13.5953","109.2492","0.5209","0.4486","0.2243","0.0678","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Mo Alie-Cox","IND","te","11","17","60.9","0","0","0","0","0","0","0","0","0","0","34.1629","24.0582","249.0035","1.9936","0.4108","0.2054","0.0838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"239","Colby Parkinson","SEA","te","5","17","60.9","0","0","0","0","0","0","0","0","0","0","33.9068","25.0377","249.7314","1.8031","0.2814","0.1407","0.095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","Deon Jackson","IND","rb","11","17","63.5","0","0","0","0","0","0","0","30.4354","126.5603","0.9335","29.0564","23.5393","166.6197","0.8708","0.4278","0.2139","0.0399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","Adam Trautman","DEN","te","9","17","57.9","0","0","0","0","0","0","0","0","0","0","33.0596","24.1601","226.7661","1.8373","0.3304","0.1652","0.091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Jameson Williams","DET","wr","9","11","77","0","0","0","0","0","0","0","0","0","0","41.2438","26.4089","374.2952","2.1793","0.2469","0.1234","0.0824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","Rico Dowdle","DAL","rb","7","17","61.1","0","0","0","0","0","0","0","85.5871","372.1255","2.5024","5.5737","4.5152","33.5641","0.1841","0.5842","0.2921","0.0752","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Jaleel McLaughlin","DEN","rb","9","17","59.8","0","0","0","0","0","0","0","38.9199","173.4167","1.2667","22.0398","17.6432","133.8713","0.6836","0.8132","0.4066","0.0508","851.9739","0.5961","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","Clyde Edwards-Helaire","KC","rb","10","17","58.9","0","0","0","0","0","0","0","62.8266","265.8645","2.1293","11.2433","9.3092","67.1543","0.6102","0.557","0.2785","0.0507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Donald Parham Jr.","LAC","te","5","17","53.6","0","0","0","0","0","0","0","0","0","0","28.2023","20.9462","227.8511","1.6448","0.2333","0.1167","0.0802","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Luke Schoonmaker","DAL","te","7","17","53.2","0","0","0","0","0","0","0","0","0","0","28.9832","21.0519","223.4634","1.628","0.2577","0.1289","0.0932","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"248","Ke'Shawn Vaughn","TB","rb","5","17","57.6","0","0","0","0","0","0","0","80.287","354.0037","2.6009","4.5022","3.5614","24.553","0.121","0.4685","0.2342","0.0503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Tyler Kroft","MIA","te","10","17","52.6","0","0","0","0","0","0","0","0","0","0","28.6194","20.2358","221.0707","1.7132","0.2319","0.1159","0.0718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Roschon Johnson","CHI","rb","13","17","57.2","0","0","0","0","0","0","0","75.4571","343.9433","2.2003","6.3426","5.0386","37.8025","0.1619","0.5256","0.2628","0.0488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","Ko Kieft","TB","te","5","17","50.6","0","0","0","0","0","0","0","0","0","0","29.2641","20.4413","215.14","1.4352","0.2447","0.1224","0.0739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"252","Tank Dell","HST","wr","7","17","70.3","0","0","0","0","0","0","0","0","0","0","41.4709","26.7757","330.8778","1.74","0.2544","0.1272","0.0675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"253","Emari Demercado","ARZ","rb","14","17","54.4","0","0","0","0","0","0","0","52.7531","233.9419","1.3754","14.6261","11.7375","87.2961","0.4068","0.4492","0.2246","0.0397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
