,,,,,,,Receiving,,,,,,,,,,,,,,,
41,Cade Otton,25,TAM,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6,9.8,8,9.2,3,88.3,
42,Tee Higgins,25,CIN,WR,10,7,92,58,727,37,521,9,206,3.6,9.8,7,8.3,3,3.3,1,108.4,
43,Mike Evans,31,TAM,WR,12,12,87,57,818,43,624,10.9,194,3.4,11.9,2,28.5,3,3.4,4,111.2,
44,Ray-Ray McCloud,28,ATL,WR,15,12,79,57,607,26,282,4.9,325,5.7,6.1,1,57,2,2.5,2,87.9,
45,Elijah Moore,24,CLE,WR,15,11,92,57,501,23,380,6.7,121,2.1,9.3,1,57,5,5.4,7,48.3,
46,Jordan Addison,22,MIN,WR,13,13,85,56,806,35,620,11.1,186,3.3,12.7,3,18.7,2,2.4,2,118.1,
47,Calvin Ridley,30,TEN,WR,15,12,109,56,857,33,670,12,187,3.3,15.1,2,28,5,4.6,4,74.6,
48,Bijan Robinson,22,ATL,RB,15,15,62,56,420,20,-89,-1.6,509,9.1,-1.2,5,11.2,1,1.6,0,100.3,
49,Zach Ertz,34,WAS,TE,15,15,79,55,538,31,401,7.3,137,2.5,7.5,0,,3,3.8,2,94.8,
50,George Pickens,23,PIT,WR,12,10,90,55,850,35,651,11.8,199,3.6,13.1,4,13.8,5,5.6,2,94.2,
51,Jake Ferguson,25,DAL,TE,12,12,77,54,464,17,171,3.2,293,5.4,4.2,6,9,2,2.6,0,85.6,
52,Michael Pittman Jr.,27,IND,WR,14,12,91,54,627,26,417,7.7,210,3.9,11.1,3,18,1,1.1,4,69.3,
53,Jaylen Waddle,26,MIA,WR,14,14,74,54,700,36,468,8.7,232,4.3,9.6,0,,7,9.5,1,105.7,
54,DeAndre Hopkins,32,2TM,WR,15,8,76,54,603,35,499,9.2,104,1.9,10.6,3,18,2,2.6,2,105.3,
54,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,
54,DeAndre Hopkins,32,KAN,WR,9,5,55,39,430,25,327,8.4,103,2.6,10.7,1,39,1,1.8,0,118,
55,Breece Hall,23,NYJ,RB,14,14,70,53,460,14,3,0.1,457,8.6,0.5,5,10.6,7,10,0,102.1,
56,Jayden Reed,24,GNB,WR,15,9,69,52,803,27,424,8.2,379,7.3,8.5,3,17.3,8,11.6,0,142.4,
57,Tank Dell,25,HOU,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3,17,6,7.4,3,85.8,
58,Marvin Harrison Jr.,22,ARI,WR,15,15,100,51,726,36,599,11.7,127,2.5,13.3,0,,4,4,3,85.7,
59,Rome Odunze,22,CHI,WR,15,10,95,51,701,35,452,8.9,249,4.9,13.8,4,12.8,5,5.3,1,83.7,
60,Xavier Worthy,21,KAN,WR,15,12,89,51,559,31,220,4.3,339,6.6,10.1,0,,7,7.9,2,85.4,
61,Chase Brown,24,CIN,RB,15,9,61,50,336,21,33,0.7,303,6.1,0.9,2,25,2,3.3,0,111.5,
62,Pat Freiermuth,26,PIT,TE,15,9,59,50,508,26,286,5.7,222,4.4,6,4,12.5,3,5.1,0,136.4,
63,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7,5.7,4,12.5,2,3.2,1,125.5,
64,Deebo Samuel,28,SFO,WR,14,14,80,50,665,27,253,5.1,412,8.2,6.7,8,6.3,6,7.5,1,91.9,
65,Rachaad White,25,TAM,RB,14,14,56,50,389,18,-127,-2.5,516,10.3,-2,3,16.7,0,0,0,131.3,
66,Mark Andrews,29,BAL,TE,15,11,59,49,551,34,413,8.4,138,2.8,9.9,0,,3,5.1,1,138.1,
67,Dalton Schultz,28,HOU,TE,15,11,76,48,482,24,279,5.8,203,4.2,8.1,0,,3,3.9,1,84.4,
68,Stefon Diggs,31,HOU,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7,
69,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,
70,Mike Gesicki,29,CIN,TE,15,3,61,47,511,27,320,6.8,191,4.1,8,0,,3,4.9,0,112.1,
71,Sam LaPorta,23,DET,TE,14,14,68,47,599,32,307,6.5,292,6.2,7.2,3,15.7,1,1.5,2,113.5,
72,Chigoziem Okonkwo,25,TEN,TE,15,9,63,47,437,17,203,4.3,234,5,5.7,5,9.4,3,4.8,4,77.3,
73,Jameson Williams,23,DET,WR,13,9,75,47,890,35,469,10,421,9,12.3,2,23.5,2,2.7,2,119.3,
74,Javonte Williams,24,DEN,RB,15,11,64,47,296,12,-50,-1.1,346,7.4,-0.5,3,15.7,7,10.9,0,82.6,
75,Kenneth Walker III,24,SEA,RB,11,11,53,46,299,19,-64,-1.4,363,7.9,-1.2,5,9.2,2,3.8,1,88.6,
76,James Conner,29,ARI,RB,15,15,52,45,410,17,-65,-1.4,475,10.6,-1.5,12,3.8,2,3.8,2,89.9,
77,Cole Kmet,25,CHI,TE,15,14,53,45,471,25,290,6.4,181,4,7.4,1,45,1,1.9,1,121,
78,Tucker Kraft,24,GNB,TE,15,15,60,44,618,27,213,4.8,405,9.2,5.1,8,5.5,5,8.3,1,138.1,
79,Tyler Lockett,32,SEA,WR,15,12,66,44,552,33,440,10,112,2.5,10.6,1,44,4,6.1,4,77.3,
80,Will Dissly,28,LAC,TE,13,7,55,43,418,19,162,3.8,256,6,5,4,10.8,4,7.3,0,104.4,
81,Jahmyr Gibbs,22,DET,RB,15,2,54,43,440,21,-77,-1.8,517,12,-0.2,2,21.5,2,3.7,1,111.4,
82,Chuba Hubbard,25,CAR,RB,15,15,54,43,171,10,-74,-1.7,245,5.7,-1.2,7,6.1,2,3.7,0,86,
83,Michael Wilson,24,ARI,WR,15,13,65,43,526,24,404,9.4,122,2.8,11.6,1,43,3,4.6,3,92.2,
84,Justice Hill,27,BAL,RB,15,0,51,42,383,17,-55,-1.3,438,10.4,-0.5,5,8.4,2,3.9,1,109.4,
85,Aaron Jones,30,MIN,RB,15,15,51,42,348,15,-5,-0.1,353,8.4,0.9,1,42,2,3.9,1,100,
86,Dalton Kincaid,25,BUF,TE,12,9,73,42,424,21,176,4.2,248,5.9,7.8,4,10.5,6,8.2,0,83.4,
87,Jalen Tolbert,25,DAL,WR,15,13,69,42,482,24,393,9.4,89,2.1,12.2,0,,3,4.3,2,98.8,
88,Tre Tucker,23,LVR,WR,15,13,69,42,491,22,291,6.9,200,4.8,12,3,14,1,1.4,1,86.1,
89,Tyler Conklin,29,NYJ,TE,14,13,61,41,376,19,168,4.1,208,5.1,5.2,0,,1,1.6,0,94.7,
90,Bucky Irving,22,TAM,RB,15,1,43,41,320,13,-109,-2.7,429,10.5,-2.4,6,6.8,1,2.3,0,97.7,
91,Xavier Legette,23,CAR,WR,14,11,70,41,439,23,344,8.4,95,2.3,12.2,1,41,7,10,1,90.1,
92,Kyle Pitts,24,ATL,TE,15,14,66,41,543,18,294,7.2,249,6.1,8.7,4,10.3,4,6.1,4,78,
93,Tony Pollard,27,TEN,RB,15,15,57,41,238,9,17,0.4,221,5.4,0.1,2,20.5,8,14,1,72.1,
94,Amari Cooper,30,2TM,WR,13,10,82,41,491,24,383,9.3,108,2.6,12.1,1,41,12,14.6,2,70.7,
94,Amari Cooper,30,CLE,WR,6,6,53,24,250,11,193,8,57,2.4,12.1,1,24,10,18.9,1,64.2,
94,Amari Cooper,30,BUF,WR,7,4,29,17,241,13,190,11.2,51,3,12.1,0,,2,6.9,1,82.7,
95,Rashod Bateman,25,BAL,WR,15,12,63,39,668,30,519,13.3,149,3.8,13.9,0,,4,6.3,2,124.2,
96,Zach Charbonnet,23,SEA,RB,15,4,49,39,289,6,-23,-0.6,312,8,-0.7,0,,0,0,1,89.5,
97,Romeo Doubs,24,GNB,WR,12,11,61,39,543,28,436,11.2,107,2.7,13.1,4,9.8,6,9.8,2,100.6,
98,Noah Fant,27,SEA,TE,12,8,53,39,394,20,193,4.9,201,5.2,5.8,2,19.5,1,1.9,3,70.8,
99,Dallas Goedert,29,PHI,TE,9,9,46,38,441,16,210,5.5,231,6.1,6.7,2,19,1,2.2,1,112,
100,Noah Gray,25,KAN,TE,15,10,47,38,430,25,227,6,203,5.3,6.5,0,,2,4.3,2,122.5,
101,Austin Hooper,30,NWE,TE,15,7,50,38,430,23,217,5.7,213,5.6,6.1,3,12.7,1,2,2,104.6,
102,Juwan Johnson,28,NOR,TE,15,4,49,38,402,20,261,6.9,141,3.7,8,3,12.7,2,4.1,0,121.3,
103,Isaiah Likely,24,BAL,TE,14,8,52,38,430,23,188,4.9,242,6.4,7.9,3,12.7,2,3.8,0,129.5,
104,Darius Slayton,27,NYG,WR,14,11,67,38,541,29,436,11.5,105,2.8,13.1,3,12.7,4,6,2,75.5,
105,D'Andre Swift,25,CHI,RB,15,15,45,38,358,10,-11,-0.3,369,9.7,-0.2,1,38,2,4.4,0,99.8,
106,Adam Thielen,34,CAR,WR,8,8,50,38,461,23,332,8.7,129,3.4,10.4,1,38,2,4,4,90.5,
107,Ameer Abdullah,31,LVR,RB,15,2,43,37,229,14,2,0.1,227,6.1,0.6,2,18.5,0,0,0,112.1,
108,Tutu Atwell,25,LAR,WR,15,4,54,37,525,27,405,10.9,120,3.2,11.5,0,,3,5.6,2,84.3,
109,Tyler Boyd,30,TEN,WR,15,8,53,37,376,19,194,5.2,182,4.9,7.4,2,18.5,3,5.7,3,66.2,
110,Jerome Ford,25,CLE,RB,13,5,43,37,225,10,-69,-1.9,294,7.9,-0.3,7,5.3,1,2.3,0,88.5,
111,Quentin Johnston,23,LAC,WR,13,9,69,37,477,22,254,6.9,223,6,11.3,8,4.6,6,8.7,1,108.2,
112,Rico Dowdle,26,DAL,RB,14,13,45,36,233,12,-5,-0.1,238,6.6,0.3,3,12,2,4.4,0,110.5,
113,David Montgomery,27,DET,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11,3.3,0,0,0,104.1,
114,Brenton Strange,24,JAX,TE,15,8,48,36,351,17,192,5.3,159,4.4,6.3,2,18,3,6.3,0,108.9,
115,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,
116,Travis Etienne,25,JAX,RB,13,13,45,35,199,10,-31,-0.9,230,6.6,0.4,2,17.5,2,4.4,1,75.8,
117,Josh Jacobs,26,GNB,RB,15,15,42,35,340,15,-63,-1.8,403,11.5,-1,13,2.7,0,0,1,98.4,
118,Josh Palmer,25,LAC,WR,14,7,59,35,543,26,452,12.9,91,2.6,15.4,0,,4,6.8,1,88.5,
119,Devaughn Vele,27,DEN,WR,11,7,49,35,398,21,280,8,118,3.4,8,0,,3,6.1,0,109.1,
120,Olamide Zaccheaus,27,WAS,WR,15,4,50,35,370,19,143,4.1,227,6.5,4.7,6,5.8,3,6,0,104.6,
121,T.J. Hockenson,27,MIN,TE,8,7,48,34,378,25,256,7.5,122,3.6,7.9,1,34,2,4.2,1,85.2,
122,Tyrone Tracy Jr.,25,NYG,RB,15,10,48,34,263,13,0,0,263,7.7,0.2,5,6.8,5,10.4,1,82.2,
123,Austin Ekeler,29,WAS,RB,11,6,39,33,346,13,-57,-1.7,403,12.2,-1.5,3,11,2,5.1,0,103.6,
124,Allen Lazard,29,NYJ,WR,10,9,54,33,450,25,320,9.7,130,3.9,10.6,0,,5,9.3,1,110.9,
125,Joe Mixon,28,HOU,RB,12,12,48,33,291,12,-38,-1.2,329,10,-0.2,5,6.6,4,8.3,0,91.6,
126,Rhamondre Stevenson,26,NWE,RB,14,13,40,33,168,8,-69,-2.1,237,7.2,-1,3,11,1,2.5,0,92.5,
127,Jaylen Warren,26,PIT,RB,13,0,40,33,269,13,-9,-0.3,278,8.4,-0.1,4,8.3,0,0,0,94.7,
128,Calvin Austin III,25,PIT,WR,15,6,52,32,517,17,375,11.7,142,4.4,13,1,32,2,3.8,0,120.4,
129,Kayshon Boutte,22,NWE,WR,13,11,56,32,444,20,328,10.3,116,3.6,15,1,32,4,7.1,2,79.8,
130,James Cook,25,BUF,RB,14,14,38,32,258,14,-2,-0.1,260,8.1,0.9,0,,2,5.3,0,112.5,
131,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32,2,4.5,2,89.2,
132,Saquon Barkley,27,PHI,RB,15,15,41,31,276,12,32,1,244,7.9,2,6,5.2,2,4.9,0,109.4,
133,Andrei Iosivas,25,CIN,WR,15,8,54,31,408,23,363,11.7,45,1.5,11.5,0,,4,7.4,1,110.7,
134,Alexander Mattison,26,LVR,RB,12,6,40,31,277,11,-19,-0.6,296,9.5,0.2,5,6.2,1,2.5,1,93.4,
135,Tim Patrick,31,DET,WR,14,8,42,31,379,20,245,7.9,134,4.3,10.3,2,15.5,1,2.4,2,105.2,
136,Sterling Shepard,31,TAM,WR,13,4,49,31,323,15,224,7.2,99,3.2,9.3,0,,4,8.2,0,89.1,
137,Kyren Williams,24,LAR,RB,15,15,37,31,166,6,-21,-0.7,187,6,-0.9,2,15.5,1,2.7,0,103.4,
138,Diontae Johnson,28,2TM,WR,11,8,63,31,363,20,276,8.9,87,2.8,11,1,31,3,4.8,5,49.9,
138,Diontae Johnson,28,CAR,WR,7,7,58,30,357,20,271,9,86,2.9,9.8,1,30,2,3.4,5,52.2,
138,Diontae Johnson,28,BAL,WR,4,1,5,1,6,0,5,5,1,1,24.2,0,,1,20,0,39.6,
139,Greg Dortch,26,ARI,WR,15,3,43,30,277,13,40,1.3,237,7.9,4.6,4,7.5,3,7,0,94.8,
140,Najee Harris,26,PIT,RB,15,15,39,30,256,11,-38,-1.3,294,9.8,-1.5,6,5,4,10.3,0,93.5,
141,David Moore,29,CAR,WR,15,5,53,30,325,16,269,9,56,1.9,10.4,1,30,4,7.5,0,87.4,
142,Dontayvion Wicks,23,GNB,WR,15,3,65,30,323,21,200,6.7,123,4.1,10.6,3,10,9,13.8,2,74.1,
143,Lil'Jordan Humphrey,26,DEN,WR,15,5,43,29,267,10,80,2.8,187,6.4,6.3,3,9.7,3,7,2,72.5,
144,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29,5,11.6,1,88.4,
145,Colby Parkinson,25,LAR,TE,15,9,47,29,288,15,134,4.6,154,5.3,5.3,1,29,2,4.3,0,86.1,
146,Alec Pierce,24,IND,WR,14,11,58,29,645,25,547,18.9,98,3.4,21.4,0,,3,5.2,4,90.1,
147,Ja'Tavion Sanders,21,CAR,TE,14,7,37,29,302,11,133,4.6,169,5.8,6.1,1,29,2,5.4,0,109.7,
148,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,
149,Christian Watson,25,GNB,WR,14,14,52,29,620,21,471,16.2,149,5.1,18.1,0,,1,1.9,2,95,
150,Jordan Akins,32,CLE,TE,15,4,42,28,281,15,156,5.6,125,4.5,5.7,1,28,1,2.4,1,83.5,
151,J.K. Dobbins,26,LAC,RB,11,9,34,28,134,6,-41,-1.5,175,6.3,-1,1,28,2,5.9,0,83.1,
152,Demarcus Robinson,30,LAR,WR,15,15,56,28,433,24,379,13.5,54,1.9,14.3,1,28,1,1.8,4,85.8,
153,Dyami Brown,25,WAS,WR,15,2,36,27,292,12,100,3.7,192,7.1,7.3,3,9,2,5.6,0,107.6,
154,Christian Kirk,28,JAX,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1,27,1,2.1,2,72.9,
155,Jalen McMillan,23,TAM,WR,11,10,47,27,336,17,229,8.5,107,4,12.8,1,27,4,8.5,6,75.6,
156,Tyjae Spears,23,TEN,RB,11,0,31,27,216,9,-35,-1.3,251,9.3,-1.4,3,9,1,3.2,0,106.5,
157,KaVontae Turpin,28,DAL,WR,15,2,43,27,351,15,142,5.3,209,7.7,8.1,2,13.5,2,4.7,2,84.5,
158,Parker Washington,22,JAX,WR,15,5,44,27,344,16,250,9.3,94,3.5,11.3,2,13.5,1,2.3,1,83.9,
159,Mack Hollins,31,BUF,WR,15,11,44,26,320,21,247,9.5,73,2.8,11.4,0,,3,6.8,0,119.5,
160,Marvin Mims,22,DEN,WR,15,1,39,26,349,9,-17,-0.7,366,14.1,8.7,0,,3,7.7,2,90.7,
161,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2,12.5,4,8.5,2,61.8,
162,AJ Barner,22,SEA,TE,15,6,33,25,211,14,74,3,137,5.5,3.9,1,25,3,9.1,1,109.5,
163,Troy Franklin,21,DEN,WR,14,6,49,25,252,10,110,4.4,142,5.7,13.6,1,25,3,6.1,1,71.1,
164,Foster Moreau,27,NOR,TE,15,15,34,25,335,18,203,8.1,132,5.3,9.8,2,12.5,0,0,1,131.4,
165,Samaje Perine,29,KAN,RB,15,0,32,25,289,13,-2,-0.1,291,11.6,0,3,8.3,1,3.1,0,114.7,
166,Luke Schoonmaker,26,DAL,TE,15,5,34,25,225,10,137,5.5,88,3.5,5.6,0,,0,0,0,100.7,
167,Nick Westbrook-Ikhine,27,TEN,WR,15,7,47,25,410,21,304,12.2,106,4.2,11.7,1,25,4,8.5,3,95.7,
168,Kendrick Bourne,29,NWE,WR,10,7,32,24,271,11,186,7.8,85,3.5,9.4,0,,4,12.5,0,110.3,
169,Keon Coleman,21,BUF,WR,11,10,40,24,498,18,291,12.1,207,8.6,15.3,4,6,3,7.5,2,108.1,
170,Rashee Rice,24,KAN,WR,4,4,29,24,288,15,102,4.3,186,7.8,5.2,4,6,1,3.4,1,116.7,
171,Curtis Samuel,28,BUF,WR,13,1,38,24,201,8,101,4.2,100,4.2,5.5,1,24,1,2.6,1,74.6,
172,Jalen Coker,23,CAR,WR,9,3,37,23,381,16,232,10.1,149,6.5,12,2,11.5,0,0,1,103.5,
173,Taysom Hill,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6,3.5,2,11.5,2,6.5,0,89,
174,Kareem Hunt,29,KAN,RB,12,8,32,23,176,10,-40,-1.7,216,9.4,-1.9,4,5.8,0,0,0,84.9,
175,Zack Moss,27,CIN,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3,7.7,1,3.7,0,107.9,
176,Josh Whyle,25,TEN,TE,15,4,29,23,219,13,89,3.9,130,5.7,5.4,1,23,1,3.4,0,109.6,
177,Tyler Johnson,26,LAR,WR,14,2,34,22,256,7,102,4.6,154,7,5.7,0,,1,2.9,1,75.1,
178,Grant Calcaterra,26,PHI,TE,15,11,24,21,254,14,132,6.3,122,5.8,7.2,0,,0,0,0,124.7,
179,Van Jefferson,28,PIT,WR,15,11,35,21,258,11,182,8.7,76,3.6,12.6,0,,0,0,0,101.8,
180,Dawson Knox,28,BUF,TE,15,12,30,21,307,12,214,10.2,93,4.4,9.7,0,,1,3.3,1,100.3,
181,Adonai Mitchell,22,IND,WR,15,7,50,21,290,14,209,10,81,3.9,14.4,0,,3,6,0,61.2,
182,Miles Sanders,27,CAR,RB,10,1,26,21,98,3,-39,-1.9,137,6.5,-0.6,0,,0,0,1,66.3,
183,Tommy Tremble,24,CAR,TE,10,9,29,21,204,10,97,4.6,107,5.1,5.4,1,21,1,3.4,1,88.9,
184,Erick All,24,CIN,TE,9,6,22,20,158,8,71,3.6,87,4.4,3.4,1,20,1,4.5,0,96.6,
185,Gabriel Davis,25,JAX,WR,10,9,42,20,239,13,200,10,39,2,13.2,0,,0,0,2,61.5,
186,Jaleel McLaughlin,24,DEN,RB,14,3,23,20,60,3,-75,-3.8,135,6.8,-3.7,1,20,0,0,0,108.2,
187,Jalen Nailor,25,MIN,WR,15,7,33,20,280,17,206,10.3,74,3.7,10.9,0,,4,12.1,0,127.5,
188,Josh Oliver,27,MIN,TE,13,10,25,20,242,13,123,6.2,119,6,8.1,0,,2,8,0,146.6,
189,Rashid Shaheed,26,NOR,WR,6,5,41,20,349,12,243,12.2,106,5.3,17.6,0,,0,0,4,63,
190,Mike Williams,30,2TM,WR,16,4,31,20,273,13,238,11.9,35,1.8,14.3,0,,2,6.5,2,76.4,
190,Mike Williams,30,NYJ,WR,9,3,21,12,166,9,142,11.8,24,2,14.5,0,,2,9.5,2,43.1,
190,Mike Williams,30,PIT,WR,7,1,10,8,107,4,96,12,11,1.4,14,0,,0,0,0,144.6,
191,Brandin Cooks,31,DAL,WR,8,7,37,19,192,15,155,8.2,37,1.9,11.8,0,,1,2.7,0,93.5,
192,Antonio Gibson,26,NWE,RB,15,2,22,19,186,9,-5,-0.3,191,10.1,0,3,6.3,1,4.5,2,64,
193,Devin Singletary,27,NYG,RB,13,5,22,19,115,4,-56,-2.9,171,9,-3,1,19,1,4.5,2,50.6,
194,Justin Watson,29,KAN,WR,15,6,27,19,224,11,165,8.7,59,3.1,14.4,0,,2,7.4,0,107.6,
195,Elijah Higgins,24,ARI,TE,15,4,21,18,149,8,80,4.4,69,3.8,4.8,1,18,1,4.8,0,128,
196,Tanner Hudson,30,CIN,TE,10,0,22,18,143,8,54,3,89,4.9,4.3,0,,1,4.5,0,108.9,
197,Lucas Krull,26,DEN,TE,11,2,22,18,149,7,86,4.8,63,3.5,5.4,2,9,0,0,0,94.9,
198,Luke McCaffrey,23,WAS,WR,15,4,24,18,168,8,71,3.9,97,5.4,7.1,1,18,1,4.2,2,59,
199,Johnny Mundt,30,MIN,TE,15,3,26,18,135,7,57,3.2,78,4.3,4.2,1,18,2,7.7,0,107.1,
200,Darnell Washington,23,PIT,TE,15,9,24,18,192,9,69,3.8,123,6.8,4.3,2,9,0,0,1,94.4,
201,Malik Washington,23,MIA,WR,12,2,26,18,134,6,49,2.7,85,4.7,5,0,,1,3.8,0,81.2,
202,Jordan Whittington,24,LAR,WR,13,2,23,18,201,10,75,4.2,126,7,3.9,1,18,0,0,0,103.1,
203,Braelon Allen,20,NYJ,RB,15,2,24,17,140,8,-16,-0.9,156,9.2,-0.4,2,8.5,3,12.5,0,99.3,
204,John Metchie,24,HOU,WR,11,2,25,17,182,9,120,7.1,62,3.6,9.2,0,,0,0,1,85.7,
