,,,,,,,Receiving,,,,,,,,,,,,,,,
16,Khalil Shakir,24,BUF,WR,12,7,81,65,735,30,202,3.1,533,8.2,4.7,6,10.8,1,1.2,1,111.7,
17,Alvin Kamara,29,NOR,RB,13,13,84,64,485,16,-19,-0.3,504,7.9,0.4,1,64,8,9.5,0,93.6,
18,De'Von Achane,23,MIA,RB,13,12,71,63,474,24,-72,-1.1,546,8.7,-0.6,4,15.8,2,2.8,0,122.7,
19,Cooper Kupp,31,LAR,WR,9,8,91,63,657,25,399,6.3,258,4.1,7.4,2,31.5,2,2.2,0,111.8,
20,Courtland Sutton,29,DEN,WR,13,10,104,63,846,44,696,11,150,2.4,13.2,1,63,6,5.8,3,90.5,
21,Terry McLaurin,29,WAS,WR,13,13,82,61,896,43,649,10.6,247,4,13.6,2,30.5,1,1.2,1,141.1,
22,Jonnu Smith,29,MIA,TE,13,4,78,61,692,43,305,5,387,6.3,5.3,6,10.2,6,7.7,0,125,
23,Zay Flowers,24,BAL,WR,13,11,94,60,863,39,460,7.7,403,6.7,9.7,5,12,4,4.3,0,107.7,
24,Jerry Jeudy,25,CLE,WR,13,12,97,59,944,42,685,11.6,259,4.4,12.9,0,,5,5.2,2,98.5,
25,Hunter Henry,30,NWE,TE,13,13,83,58,610,35,369,6.4,241,4.2,7.2,2,29,2,2.4,1,89.9,
26,Ladd McConkey,23,LAC,WR,12,10,81,58,815,38,553,9.5,262,4.5,10.2,6,9.7,2,2.5,1,115,
27,Davante Adams,32,2TM,WR,10,10,96,58,662,33,405,7,257,4.4,8.2,6,9.7,3,3.1,1,90.7,
27,Davante Adams,32,LVR,WR,3,3,27,18,209,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8,
27,Davante Adams,32,NYJ,WR,7,7,69,40,453,23,241,6,212,5.3,7.7,6,6.7,2,2.9,0,92.2,
28,Jauan Jennings,27,SFO,WR,11,7,78,57,774,38,575,10.1,199,3.5,9.7,4,14.3,3,3.8,0,130,
29,Darnell Mooney,27,ATL,WR,13,13,94,57,873,42,629,11,244,4.3,12.2,6,9.5,6,6.4,2,100.2,
30,Cade Otton,25,TAM,TE,13,13,84,57,576,29,280,4.9,296,5.2,5.2,6,9.5,8,9.5,3,88.2,
31,George Kittle,31,SFO,TE,11,11,67,56,800,37,438,7.8,362,6.5,8.1,3,18.7,2,3,2,143.6,
32,David Njoku,28,CLE,TE,10,10,87,56,439,20,230,4.1,209,3.7,5.2,3,18.7,7,8,1,91.1,
33,George Pickens,23,PIT,WR,12,10,90,55,850,35,651,11.8,199,3.6,13.1,4,13.8,5,5.6,2,94.2,
34,D.K. Metcalf,27,SEA,WR,11,9,90,54,812,28,572,10.6,240,4.4,12.7,3,18,4,4.4,1,96.2,
35,Puka Nacua,23,LAR,WR,8,8,75,54,708,37,352,6.5,356,6.6,9,6,9,1,1.3,1,109.2,
36,Brian Thomas,22,JAX,WR,13,12,85,54,851,37,501,9.3,350,6.5,12.6,0,,7,8.2,4,100.7,
37,Jaylen Waddle,26,MIA,WR,13,13,72,54,700,36,468,8.7,232,4.3,9.4,0,,7,9.7,1,108.6,
38,Josh Downs,23,IND,WR,10,6,78,53,594,31,345,6.5,249,4.7,7.5,0,,4,5.1,3,91.5,
39,Ray-Ray McCloud,28,ATL,WR,13,11,72,53,574,24,271,5.1,303,5.7,6.2,1,53,1,1.4,2,89.7,
40,Elijah Moore,24,CLE,WR,13,9,81,53,481,22,365,6.9,116,2.2,8.9,1,53,4,4.9,6,54.6,
41,Bijan Robinson,22,ATL,RB,13,13,58,53,401,18,-88,-1.7,489,9.2,-1.3,5,10.6,1,1.7,0,101.2,
42,Demario Douglas,24,NWE,WR,13,5,70,52,497,24,190,3.7,307,5.9,6.2,2,26,5,7.1,2,86.4,
43,Zach Ertz,34,WAS,TE,13,13,75,52,501,29,375,7.2,126,2.4,7.5,0,,3,4,2,94.4,
44,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7,5.7,4,12.5,2,3.2,1,125.5,
45,Calvin Ridley,30,TEN,WR,13,11,99,50,738,29,573,11.5,165,3.3,14.9,2,25,5,5.1,3,72.7,
46,Nico Collins,25,HOU,WR,8,8,72,49,832,37,520,10.6,312,6.4,10.8,2,24.5,3,4.2,3,108.1,
47,A.J. Brown,27,PHI,WR,10,10,66,48,836,41,569,11.9,267,5.6,13.1,7,6.9,0,0,1,128.7,
48,Keenan Allen,32,CHI,WR,11,11,84,47,471,28,325,6.9,146,3.1,9.1,0,,4,4.8,0,91.9,
49,Stefon Diggs,31,HOU,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7,
50,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,
51,Jake Ferguson,25,DAL,TE,10,10,64,46,401,16,158,3.4,243,5.3,4.4,5,9.2,1,1.6,0,88.1,
52,Breece Hall,23,NYJ,RB,12,12,62,46,401,12,25,0.5,376,8.2,0.9,4,11.5,7,11.3,0,101.6,
53,Michael Pittman Jr.,27,IND,WR,12,10,79,46,550,21,359,7.8,191,4.2,11.6,3,15.3,1,1.3,4,67,
54,Marvin Harrison Jr.,22,ARI,WR,13,13,86,45,655,33,554,12.3,101,2.2,13.4,0,,4,4.7,3,90,
55,Tee Higgins,25,CIN,WR,8,6,73,45,581,32,405,9,176,3.9,9.9,4,11.3,3,4.1,1,103.7,
56,Rome Odunze,22,CHI,WR,13,9,81,45,585,30,392,8.7,193,4.3,14.1,4,11.3,3,3.7,1,85.7,
57,DeVonta Smith,26,PHI,WR,10,10,62,45,553,27,349,7.8,204,4.5,10,0,,1,1.6,3,106.5,
58,DeAndre Hopkins,32,2TM,WR,13,8,66,45,530,29,439,9.8,91,2,11.3,3,15,2,3,2,105,
58,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,
58,DeAndre Hopkins,32,KAN,WR,7,5,45,30,357,19,267,8.9,90,3,11.8,1,30,1,2.2,0,120.3,
59,Jordan Addison,22,MIN,WR,11,11,68,44,708,30,546,12.4,162,3.7,13.9,3,14.7,2,2.9,2,121.4,
60,Chase Brown,24,CIN,RB,13,7,55,44,302,18,17,0.4,285,6.5,0.7,1,44,2,3.6,0,107.7,
61,Pat Freiermuth,26,PIT,TE,13,8,50,44,470,23,253,5.8,217,4.9,5.7,3,14.7,2,4,0,139.2,
62,Jayden Reed,24,GNB,WR,13,7,59,44,693,24,374,8.5,319,7.3,8.5,3,14.7,7,11.9,0,147.1,
63,Mark Andrews,29,BAL,TE,13,9,51,43,490,29,360,8.4,130,3,9.6,0,,3,5.9,1,138.1,
64,Tank Dell,25,HOU,WR,12,8,72,43,543,27,393,9.1,150,3.5,11.9,3,14.3,6,8.3,3,75.2,
65,Will Dissly,28,LAC,TE,13,7,55,43,418,19,162,3.8,256,6,5,4,10.8,4,7.3,0,104.4,
66,Mike Evans,31,TAM,WR,10,10,68,43,590,34,457,10.6,133,3.1,11.3,1,43,3,4.4,3,106.9,
67,Mike Gesicki,29,CIN,TE,13,3,55,42,460,25,288,6.9,172,4.1,8.3,0,,2,3.6,0,112.7,
68,Cole Kmet,25,CHI,TE,13,12,50,42,448,23,284,6.8,164,3.9,7.7,1,42,1,2,1,115.7,
69,Tyler Lockett,32,SEA,WR,13,11,63,41,511,31,402,9.8,109,2.7,10.5,1,41,4,6.3,4,74.2,
70,Dalton Schultz,28,HOU,TE,13,9,64,41,424,21,255,6.2,169,4.1,8.3,0,,2,3.1,1,81.8,
71,Rachaad White,25,TAM,RB,12,12,46,41,322,16,-98,-2.4,420,10.2,-1.9,3,13.7,0,0,0,132.1,
72,Deebo Samuel,28,SFO,WR,12,12,64,40,553,22,249,6.2,304,7.6,7.2,3,13.3,5,7.8,1,88.9,
73,Amari Cooper,30,2TM,WR,11,9,80,40,481,23,380,9.5,101,2.5,12.3,1,40,11,13.8,2,70.9,
73,Amari Cooper,30,CLE,WR,6,6,53,24,250,11,193,8,57,2.4,12.1,1,24,10,18.9,1,64.2,
73,Amari Cooper,30,BUF,WR,5,3,27,16,231,12,187,11.7,44,2.8,12.6,0,,1,3.7,1,84,
74,Tucker Kraft,24,GNB,TE,13,13,54,39,521,23,164,4.2,357,9.2,4.9,8,4.9,5,9.3,1,134.3,
75,Xavier Legette,23,CAR,WR,13,10,67,39,432,23,340,8.7,92,2.4,12,1,39,7,10.4,1,91.1,
76,Tony Pollard,27,TEN,RB,13,13,53,39,233,9,26,0.7,207,5.3,0.4,2,19.5,6,11.3,0,81.7,
77,Jalen Tolbert,25,DAL,WR,13,12,64,39,451,21,368,9.4,83,2.1,12,0,,3,4.7,2,90,
78,Jameson Williams,23,DET,WR,11,7,63,39,710,27,356,9.1,354,9.1,12.3,2,19.5,2,3.2,2,108.6,
79,Michael Wilson,24,ARI,WR,13,11,58,39,473,22,372,9.5,101,2.6,11.5,1,39,2,3.4,2,100.7,
80,Dallas Goedert,29,PHI,TE,9,9,46,38,441,16,210,5.5,231,6.1,6.7,2,19,1,2.2,1,112,
81,Tre Tucker,23,LVR,WR,13,11,62,38,432,19,244,6.4,188,4.9,11.5,3,12.7,1,1.6,1,86.2,
82,Kenneth Walker III,24,SEA,RB,10,10,45,38,271,18,-40,-1.1,311,8.2,-0.9,5,7.6,2,4.4,1,89.9,
83,Javonte Williams,24,DEN,RB,13,11,50,38,259,10,-23,-0.6,282,7.4,0,3,12.7,3,6,0,87,
84,Xavier Worthy,21,KAN,WR,13,10,67,38,448,25,203,5.3,245,6.4,11,0,,4,6,2,84.7,
85,Justice Hill,27,BAL,RB,13,0,45,37,322,14,-44,-1.2,366,9.9,-0.4,4,9.3,1,2.2,1,102,
86,Aaron Jones,30,MIN,RB,13,13,43,37,302,13,3,0.1,299,8.1,1.3,1,37,1,2.3,1,101.7,
87,Zach Charbonnet,23,SEA,RB,13,3,43,36,263,5,-26,-0.7,289,8,-0.9,0,,0,0,1,90.2,
88,Tyler Conklin,29,NYJ,TE,13,13,54,36,317,16,140,3.9,177,4.9,4.9,0,,1,1.9,0,94.4,
89,James Conner,29,ARI,RB,13,13,43,36,333,13,-56,-1.6,389,10.8,-1.7,10,3.6,2,4.7,2,87.3,
90,Bucky Irving,22,TAM,RB,13,1,38,36,300,12,-91,-2.5,391,10.9,-2.2,6,6,1,2.6,0,99.6,
91,Sam LaPorta,23,DET,TE,12,12,51,36,445,23,217,6,228,6.3,6.7,2,18,0,0,2,113.6,
92,Kyle Pitts,24,ATL,TE,13,13,60,36,508,17,271,7.5,237,6.6,9.1,3,12,4,6.7,3,83.2,
93,Darius Slayton,27,NYG,WR,12,9,64,36,504,27,419,11.6,85,2.4,13.2,3,12,5,7.8,2,74,
94,Tutu Atwell,25,LAR,WR,13,4,50,35,507,26,394,11.3,113,3.2,11.7,0,,2,4,2,86,
95,Rashod Bateman,25,BAL,WR,13,10,55,35,574,26,444,12.7,130,3.7,13.4,0,,4,7.3,1,121.3,
96,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,
97,Noah Gray,25,KAN,TE,13,9,41,35,399,23,200,5.7,199,5.7,6.6,0,,0,0,2,119.4,
98,Chuba Hubbard,25,CAR,RB,13,13,45,35,141,7,-59,-1.7,200,5.7,-1,7,5,2,4.4,0,87.1,
99,Romeo Doubs,24,GNB,WR,10,9,53,34,483,25,390,11.5,93,2.7,12.8,2,17,6,11.3,2,90.4,
100,Jahmyr Gibbs,22,DET,RB,13,1,42,34,312,14,-83,-2.4,395,11.6,-0.1,1,34,1,2.4,1,103.6,
101,Juwan Johnson,28,NOR,TE,13,3,44,34,363,18,227,6.7,136,4,7.7,3,11.3,2,4.5,0,123.6,
102,Dalton Kincaid,25,BUF,TE,10,7,59,34,356,18,145,4.3,211,6.2,7.2,3,11.3,6,10.2,0,86.5,
103,D'Andre Swift,25,CHI,RB,13,13,41,34,315,9,0,0,315,9.3,0.1,1,34,2,4.9,0,98.7,
104,Tyler Boyd,30,TEN,WR,13,8,47,33,317,17,177,5.4,140,4.2,7.6,1,33,2,4.3,1,79.8,
105,Rico Dowdle,26,DAL,RB,12,11,42,33,205,12,-5,-0.2,210,6.4,0.3,3,11,2,4.8,0,110.8,
106,Austin Ekeler,29,WAS,RB,11,6,39,33,346,13,-57,-1.7,403,12.2,-1.5,3,11,2,5.1,0,103.6,
107,Noah Fant,27,SEA,TE,10,7,40,33,329,17,168,5.1,161,4.9,5.3,2,16.5,1,2.5,0,100.9,
108,Isaiah Likely,24,BAL,TE,12,7,47,33,384,20,157,4.8,227,6.9,8.1,2,16.5,2,4.3,0,123,
109,Devaughn Vele,27,DEN,WR,9,5,45,33,377,19,267,8.1,110,3.3,8.2,0,,2,4.4,0,105.5,
110,David Montgomery,27,DET,RB,13,13,34,32,310,14,-14,-0.4,324,10.1,-0.2,10,3.2,0,0,0,104.7,
111,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32,2,4.5,2,89.2,
112,Austin Hooper,30,NWE,TE,13,6,42,31,337,18,163,5.3,174,5.6,5.6,3,10.3,1,2.4,1,110.9,
113,Allen Lazard,29,NYJ,WR,8,8,45,31,430,24,307,9.9,123,4,10.4,0,,3,6.7,1,127.1,
114,Rhamondre Stevenson,26,NWE,RB,12,11,38,31,139,6,-57,-1.8,196,6.3,-0.8,3,10.3,1,2.6,0,90.7,
115,Diontae Johnson,28,2TM,WR,11,8,63,31,363,20,276,8.9,87,2.8,11,1,31,3,4.8,5,49.9,
115,Diontae Johnson,28,CAR,WR,7,7,58,30,357,20,271,9,86,2.9,9.8,1,30,2,3.4,5,52.2,
115,Diontae Johnson,28,BAL,WR,4,1,5,1,6,0,5,5,1,1,24.2,0,,1,20,0,39.6,
116,Jerome Ford,25,CLE,RB,11,4,36,30,166,6,-51,-1.7,217,7.2,0.1,7,4.3,1,2.8,0,85.9,
117,Chigoziem Okonkwo,25,TEN,TE,13,7,42,30,297,12,135,4.5,162,5.4,5.5,0,,3,7.1,2,87.1,
118,Josh Palmer,25,LAC,WR,12,6,50,30,492,24,409,13.6,83,2.8,15.8,0,,4,8,0,99.7,
119,Saquon Barkley,27,PHI,RB,13,13,38,29,267,12,27,0.9,240,8.3,1.4,5,5.8,2,5.3,0,112.5,
120,Travis Etienne,25,JAX,RB,11,11,37,29,164,8,-25,-0.9,189,6.5,0.7,2,14.5,2,5.4,1,73.9,
121,Najee Harris,26,PIT,RB,13,13,37,29,249,11,-32,-1.1,281,9.7,-1.2,6,4.8,3,8.1,0,94.7,
122,Lil'Jordan Humphrey,26,DEN,WR,13,5,42,29,267,10,80,2.8,187,6.4,6.2,3,9.7,3,7.1,1,84.1,
123,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29,5,11.6,1,88.4,
124,Quentin Johnston,23,LAC,WR,11,8,53,29,414,18,218,7.5,196,6.8,12.2,4,7.3,5,9.4,0,119.8,
125,Alec Pierce,24,IND,WR,13,10,54,29,645,25,547,18.9,98,3.4,21.8,0,,3,5.6,3,104.3,
126,Ja'Tavion Sanders,21,CAR,TE,12,6,36,29,302,11,133,4.6,169,5.8,6.2,1,29,2,5.6,0,110.9,
127,Sterling Shepard,31,TAM,WR,11,3,45,29,287,13,189,6.5,98,3.4,8.9,0,,2,4.4,0,89.8,
128,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,
129,Tyrone Tracy Jr.,25,NYG,RB,13,8,40,29,216,10,16,0.6,200,6.9,0.5,4,7.3,4,10,1,74.6,
130,James Cook,25,BUF,RB,12,12,34,28,204,10,-15,-0.5,219,7.8,0.6,0,,2,5.9,0,101.5,
131,J.K. Dobbins,26,LAC,RB,11,9,34,28,134,6,-41,-1.5,175,6.3,-1,1,28,2,5.9,0,83.1,
132,Demarcus Robinson,30,LAR,WR,13,13,54,28,433,24,379,13.5,54,1.9,14.1,1,28,0,0,3,95.1,
133,Adam Thielen,34,CAR,WR,6,6,37,28,367,18,271,9.7,96,3.4,10.6,1,28,2,5.4,2,102,
134,Kyren Williams,24,LAR,RB,13,13,34,28,155,6,-15,-0.5,170,6.1,-0.8,2,14,1,2.9,0,105.3,
135,T.J. Hockenson,27,MIN,TE,6,5,36,27,299,19,201,7.4,98,3.6,7.7,1,27,1,2.8,1,87.6,
136,Andrei Iosivas,25,CIN,WR,13,7,47,27,350,20,310,11.5,40,1.5,11.5,0,,4,8.5,0,116.4,
137,Josh Jacobs,26,GNB,RB,13,13,34,27,260,11,-36,-1.3,296,11,-0.5,9,3,0,0,1,96.1,
138,Christian Kirk,28,JAX,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1,27,1,2.1,2,72.9,
139,Joe Mixon,28,HOU,RB,10,10,40,27,244,10,-35,-1.3,279,10.3,-0.6,5,5.4,3,7.5,0,92.1,
140,Colby Parkinson,25,LAR,TE,13,8,41,27,267,14,126,4.7,141,5.2,5.5,1,27,2,4.9,0,92.2,
141,Tim Patrick,31,DET,WR,12,6,33,27,349,18,228,8.4,121,4.5,9.9,1,27,0,0,2,105.7,
142,Jaylen Warren,26,PIT,RB,11,0,33,27,222,10,-16,-0.6,238,8.8,-0.1,3,9,0,0,0,94.7,
143,Olamide Zaccheaus,27,WAS,WR,13,3,38,27,264,14,100,3.7,164,6.1,4.9,3,9,3,7.9,0,90.2,
144,Greg Dortch,26,ARI,WR,13,2,39,26,198,10,43,1.7,155,6,5.2,4,6.5,3,7.7,0,87.3,
145,David Moore,29,CAR,WR,13,5,46,26,267,13,222,8.5,45,1.7,10.6,0,,2,4.3,0,80.6,
146,KaVontae Turpin,28,DAL,WR,13,1,41,26,344,15,137,5.3,207,8,8.5,2,13,2,4.9,2,85.8,
147,Christian Watson,25,GNB,WR,12,12,45,26,564,19,415,16,149,5.7,17.9,0,,1,2.2,2,98.6,
148,Ameer Abdullah,31,LVR,RB,13,2,30,25,124,8,-34,-1.4,158,6.3,-0.5,2,12.5,0,0,0,106.1,
149,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2,12.5,4,8.5,2,61.8,
150,Kayshon Boutte,22,NWE,WR,11,9,44,25,330,15,265,10.6,65,2.6,14.5,1,25,3,6.8,1,78.8,
151,Alexander Mattison,26,LVR,RB,10,5,29,25,245,10,-9,-0.4,254,10.2,-0.4,5,5,1,3.4,1,99,
152,Dontayvion Wicks,23,GNB,WR,13,3,56,25,296,17,186,7.4,110,4.4,11.5,3,8.3,8,14.3,2,70.2,
153,Jordan Akins,32,CLE,TE,13,3,36,24,243,13,159,6.6,84,3.5,6,1,24,1,2.8,1,83.4,
154,Rashee Rice,24,KAN,WR,4,4,29,24,288,15,102,4.3,186,7.8,5.2,4,6,1,3.4,1,116.7,
155,Luke Schoonmaker,26,DAL,TE,13,5,33,24,222,10,136,5.7,86,3.6,5.8,0,,0,0,0,100.8,
156,Calvin Austin III,25,PIT,WR,13,5,42,23,387,13,262,11.4,125,5.4,12.5,1,23,2,4.8,0,117.9,
157,Taysom Hill,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6,3.5,2,11.5,2,6.5,0,89,
158,Mack Hollins,31,BUF,WR,13,10,38,23,288,19,222,9.7,66,2.9,11.7,0,,3,7.9,0,123.7,
159,Zack Moss,27,CIN,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3,7.7,1,3.7,0,107.9,
160,Curtis Samuel,28,BUF,WR,12,1,36,23,200,8,100,4.3,100,4.3,5.9,1,23,1,2.8,1,76.2,
161,Brenton Strange,24,JAX,TE,13,6,32,23,256,13,131,5.7,125,5.4,7.2,2,11.5,3,9.4,0,116.1,
162,AJ Barner,22,SEA,TE,13,5,28,22,193,13,65,3,128,5.8,3.3,1,22,2,7.1,1,104.3,
163,Keon Coleman,21,BUF,WR,9,8,36,22,417,16,226,10.3,191,8.7,13,4,5.5,3,8.3,1,117.5,
164,Tyler Johnson,26,LAR,WR,13,2,34,22,256,7,102,4.6,154,7,5.7,0,,1,2.9,1,75.1,
165,Troy Franklin,21,DEN,WR,12,5,41,21,218,9,102,4.9,116,5.5,15.1,1,21,1,2.4,1,73,
166,Samaje Perine,29,KAN,RB,13,0,28,21,216,10,-1,0,217,10.3,0.1,3,7,1,3.6,0,108.6,
167,Miles Sanders,27,CAR,RB,10,1,26,21,98,3,-39,-1.9,137,6.5,-0.6,0,,0,0,1,66.3,
168,Nick Westbrook-Ikhine,27,TEN,WR,13,6,40,21,384,17,278,13.2,106,5,12.4,1,21,4,10,2,104.6,
169,Erick All,24,CIN,TE,9,6,22,20,158,8,71,3.6,87,4.4,3.4,1,20,1,4.5,0,96.6,
170,Dyami Brown,25,WAS,WR,13,1,27,20,206,10,57,2.9,149,7.5,6.6,3,6.7,2,7.4,0,107.9,
171,Grant Calcaterra,26,PHI,TE,13,9,23,20,232,13,110,5.5,122,6.1,6.5,0,,0,0,0,123.2,
172,Gabriel Davis,25,JAX,WR,10,9,42,20,239,13,200,10,39,2,13.2,0,,0,0,2,61.5,
173,Kareem Hunt,29,KAN,RB,10,8,27,20,148,9,-33,-1.7,181,9.1,-2.1,4,5,0,0,0,86.7,
174,Adonai Mitchell,22,IND,WR,13,7,45,20,254,13,175,8.8,79,4,13.8,0,,3,6.7,0,62.6,
175,Josh Oliver,27,MIN,TE,11,10,24,20,242,13,123,6.2,119,6,8.1,0,,1,4.2,0,148.3,
176,Rashid Shaheed,26,NOR,WR,6,5,41,20,349,12,243,12.2,106,5.3,17.6,0,,0,0,4,63,
177,Kendrick Bourne,29,NWE,WR,8,6,27,19,209,10,133,7,76,4,9.2,0,,4,14.8,0,105.3,
178,Marvin Mims,22,DEN,WR,13,1,30,19,267,6,13,0.7,254,13.4,10,0,,2,6.7,2,86.4,
179,Foster Moreau,27,NOR,TE,13,13,27,19,263,12,179,9.4,84,4.4,10.7,1,19,0,0,0,138.3,
180,Justin Watson,29,KAN,WR,13,4,25,19,224,11,165,8.7,59,3.1,12.3,0,,2,8,0,116.1,
181,Van Jefferson,28,PIT,WR,13,10,30,18,231,10,159,8.8,72,4,12.2,0,,0,0,0,106.4,
182,Johnny Mundt,30,MIN,TE,13,3,25,18,135,7,57,3.2,78,4.3,4.5,1,18,2,8,0,111.2,
183,Jalen Nailor,25,MIN,WR,13,5,30,18,270,15,202,11.2,68,3.8,11.6,0,,4,13.3,0,129.2,
184,Tyjae Spears,23,TEN,RB,9,0,20,18,90,4,-25,-1.4,115,6.4,-1.4,1,18,1,5,0,85.4,
185,Darnell Washington,23,PIT,TE,13,7,24,18,192,9,69,3.8,123,6.8,4.3,2,9,0,0,1,94.4,
186,Parker Washington,22,JAX,WR,13,3,32,18,236,12,183,10.2,53,2.9,11.3,1,18,1,3.1,0,90.1,
187,Jordan Whittington,24,LAR,WR,11,2,23,18,201,10,75,4.2,126,7,3.9,1,18,0,0,0,103.1,
188,Josh Whyle,25,TEN,TE,13,4,24,18,182,11,59,3.3,123,6.8,5.3,1,18,1,4.2,0,96.2,
189,Jalen Coker,23,CAR,WR,7,1,26,17,263,14,174,10.2,89,5.2,13,2,8.5,0,0,1,95.5,
190,Elijah Higgins,24,ARI,TE,13,4,19,17,144,8,77,4.5,67,3.9,4.5,1,17,1,5.3,0,133.3,
191,Tanner Hudson,30,CIN,TE,9,0,21,17,134,8,49,2.9,85,5,4.3,0,,1,4.8,0,109.1,
192,Dawson Knox,28,BUF,TE,13,11,25,17,243,10,164,9.6,79,4.6,9.8,0,,1,4,1,95.9,
193,Jaleel McLaughlin,24,DEN,RB,13,2,20,17,47,3,-65,-3.8,112,6.6,-3.8,1,17,0,0,0,112.5,
194,Jalen McMillan,23,TAM,WR,9,8,34,17,204,10,125,7.4,79,4.6,12.4,0,,4,11.8,5,58.6,
195,Braelon Allen,20,NYJ,RB,13,2,23,16,135,8,-18,-1.1,153,9.6,-0.5,2,8,3,13,0,99,
196,Emari Demercado,25,ARI,RB,13,0,20,16,104,3,9,0.6,95,5.9,1.3,1,16,0,0,0,88.3,
197,Luke McCaffrey,23,WAS,WR,13,4,20,16,155,7,72,4.5,83,5.2,6.7,1,16,1,5,0,99,
198,Dare Ogunbowale,30,HOU,RB,13,1,22,16,166,7,17,1.1,149,9.3,2,0,,2,9.1,0,109.3,
199,Kalif Raymond,30,DET,WR,11,2,21,16,204,9,73,4.6,131,8.2,8.1,0,,0,0,0,137.8,
200,Devin Singletary,27,NYG,RB,11,5,19,16,99,4,-47,-2.9,146,9.1,-2.9,1,16,1,5.3,2,48.8,
201,Tommy Tremble,24,CAR,TE,8,7,24,16,157,8,79,4.9,78,4.9,5.8,0,,1,4.2,1,81.4,
202,DJ Turner,27,LVR,WR,12,6,29,16,158,9,75,4.7,83,5.2,8.8,2,8,1,3.4,2,53.5,
203,Mike Williams,30,2TM,WR,14,4,26,16,234,11,209,13.1,25,1.6,15.9,0,,2,7.7,2,71.6,
203,Mike Williams,30,NYJ,WR,9,3,21,12,166,9,142,11.8,24,2,14.5,0,,2,9.5,2,43.1,
203,Mike Williams,30,PIT,WR,5,1,5,4,68,2,67,16.8,1,0.3,22,0,,0,0,0,158.3,
204,Antonio Gibson,26,NWE,RB,13,2,18,15,147,7,-7,-0.5,154,10.3,-0.1,0,,1,5.6,2,61.1,
205,Kyle Juszczyk,33,SFO,FB,13,11,23,15,122,4,81,5.4,41,2.7,6.2,0,,1,4.3,1,60.4,
