62,Zamir White,25,LVR,RB,8,5,65,183,4,93,1.4,90,1.4,4,16.3,
63,Trey Benson,21,ARI,RB,13,1,63,291,16,157,2.5,134,2.1,4,15.8,
64,Kyler Murray,27,ARI,QB,14,14,63,455,20,364,5.8,91,1.4,1,63,
65,Justin Fields,25,PIT,QB,10,6,62,289,19,214,3.5,75,1.2,2,31,
66,Jaylen Wright,21,MIA,RB,13,1,62,253,10,135,2.2,118,1.9,3,20.7,
67,Brock Purdy,25,SFO,QB,13,13,59,285,29,231,3.9,54,0.9,2,29.5,
68,Kenneth Gainwell,25,PHI,RB,14,0,57,265,12,151,2.6,114,2,3,19,
69,Sam Darnold,27,MIN,QB,14,14,56,194,21,139,2.5,55,1,1,56,
70,Justin Herbert,26,LAC,QB,14,14,54,224,16,167,3.1,57,1.1,1,54,
71,Tyjae Spears,23,TEN,RB,10,0,54,190,11,82,1.5,108,2,7,7.7,
72,Patrick Mahomes,29,KAN,QB,14,14,52,262,20,212,4.1,50,1,0,,
73,Jeremy McNichols,29,WAS,RB,14,1,52,253,14,95,1.8,158,3,7,7.4,
74,Ty Chandler,26,MIN,RB,14,0,51,175,8,126,2.5,49,1,0,,
75,Christian McCaffrey,28,SFO,RB,4,4,50,202,12,116,2.3,86,1.7,3,16.7,
76,C.J. Stroud,23,HOU,QB,14,14,49,203,12,161,3.3,42,0.9,3,16.3,
77,Blake Corum,24,LAR,RB,14,0,48,187,12,109,2.3,78,1.6,0,,
78,Roschon Johnson,23,CHI,RB,11,0,48,139,16,76,1.6,63,1.3,0,,
79,Trey Sermon,25,IND,RB,14,3,48,134,13,68,1.4,66,1.4,1,48,
80,Carson Steele,22,KAN,RB,14,2,48,158,14,77,1.6,81,1.7,2,24,
81,Baker Mayfield,29,TAM,QB,14,14,47,266,18,208,4.4,58,1.2,2,23.5,
82,Geno Smith,34,SEA,QB,14,14,47,231,15,214,4.6,17,0.4,0,,
83,Audric Estime,21,DEN,RB,10,0,46,204,9,92,2,112,2.4,3,15.3,
84,D'Onta Foreman,28,CLE,RB,8,2,46,155,6,101,2.2,54,1.2,0,,
85,Justice Hill,27,BAL,RB,14,0,45,198,13,78,1.7,120,2.7,5,9,
86,Drake Maye,22,NWE,QB,10,9,42,359,18,275,6.5,84,2,2,21,
87,Will Levis,25,TEN,QB,11,11,41,175,20,122,3,53,1.3,4,10.3,
88,Sean Tucker,23,TAM,RB,14,0,40,253,14,152,3.8,101,2.5,1,40,
89,Ameer Abdullah,31,LVR,RB,14,2,39,158,7,99,2.5,59,1.5,1,39,
90,Taysom Hill,34,NOR,TE,8,8,39,278,18,108,2.8,170,4.4,4,9.8,
91,Sincere McCormick,24,LVR,RB,5,2,39,183,10,90,2.3,93,2.4,5,7.8,
92,Miles Sanders,27,CAR,RB,10,1,38,139,9,80,2.1,59,1.6,2,19,
93,Joe Burrow,28,CIN,QB,14,14,35,158,13,127,3.6,31,0.9,0,,
94,Jamaal Williams,29,NOR,RB,11,0,35,129,9,68,1.9,61,1.7,0,,
95,Deebo Samuel,28,SFO,WR,13,13,34,95,3,43,1.3,52,1.5,1,34,
96,Kimani Vidal,23,LAC,RB,7,0,33,107,5,50,1.5,57,1.7,3,11,
97,Jared Goff,30,DET,QB,14,14,31,60,9,56,1.8,4,0.1,0,,
98,Deshaun Watson,29,CLE,QB,7,7,31,148,8,109,3.5,39,1.3,1,31,
99,Bryce Young,23,CAR,QB,11,9,31,149,8,133,4.3,16,0.5,1,31,
100,D'Ernest Johnson,28,JAX,RB,11,1,30,117,6,59,2,58,1.9,0,,
101,Cordarrelle Patterson,33,PIT,RB,10,1,30,132,7,45,1.5,87,2.9,3,10,
102,Russell Wilson,36,PIT,QB,8,8,30,57,8,50,1.7,7,0.2,0,,
103,Ty Johnson,27,BUF,RB,14,1,29,154,10,88,3,66,2.3,0,,
104,Tyler Goodson,24,IND,RB,13,0,28,131,5,83,3,48,1.7,0,,
105,Kendre Miller,22,NOR,RB,4,0,28,130,9,52,1.9,78,2.8,5,5.6,
106,Chris Rodriguez,24,WAS,RB,6,0,27,152,8,55,2,97,3.6,1,27,
107,Trevor Lawrence,25,JAX,QB,10,10,26,119,13,89,3.4,30,1.2,2,13,
108,Dare Ogunbowale,30,HOU,RB,14,1,26,103,4,65,2.5,38,1.5,1,26,
109,Jameis Winston,30,CLE,QB,12,7,25,83,17,72,2.9,11,0.4,0,,
110,Emari Demercado,25,ARI,RB,13,0,24,223,8,86,3.6,137,5.7,3,8,
111,Kirk Cousins,36,ATL,QB,14,14,23,0,2,-8,-0.3,8,0.3,0,,
112,Jordan Love,26,GNB,QB,12,12,23,75,8,46,2,29,1.3,0,,
113,Chris Brooks,24,GNB,RB,12,0,22,101,7,32,1.5,69,3.1,3,7.3,
114,Cooper Rush,31,DAL,QB,10,6,22,20,4,10,0.5,10,0.5,0,,
115,Aaron Rodgers,41,NYJ,QB,14,14,21,101,7,96,4.6,5,0.2,1,21,
116,Matthew Stafford,36,LAR,QB,14,14,21,29,7,24,1.1,5,0.2,0,,
117,Isaiah Davis,22,NYJ,RB,14,0,20,86,5,33,1.7,53,2.7,3,6.7,
118,Jamycal Hasty,28,NWE,RB,14,0,20,69,4,38,1.9,31,1.6,0,,
119,Will Shipley,22,PHI,RB,14,1,20,50,1,24,1.2,26,1.3,0,,
120,Gardner Minshew II,28,LVR,QB,10,9,19,58,5,45,2.4,13,0.7,0,,
121,Pierre Strong,26,CLE,RB,12,0,19,69,4,41,2.2,28,1.5,0,,
122,Derek Carr,33,NOR,QB,10,10,17,71,4,66,3.9,5,0.3,0,,
123,Julius Chestnut,24,TEN,RB,14,0,17,74,1,36,2.1,38,2.2,2,8.5,
124,Mac Jones,26,JAX,QB,7,4,17,53,6,34,2,19,1.1,0,,
125,Samaje Perine,29,KAN,RB,14,0,17,82,7,48,2.8,34,2,0,,
126,Tyler Huntley,26,MIA,QB,3,3,16,67,6,60,3.8,7,0.4,0,,
127,Jayden Reed,24,GNB,WR,14,8,16,155,7,107,6.7,48,3,2,8,
128,Malik Willis,25,GNB,QB,5,2,16,137,6,91,5.7,46,2.9,3,5.3,
129,Jacoby Brissett,32,NWE,QB,7,5,15,62,5,49,3.3,13,0.9,0,,
130,Dameon Pierce,24,HOU,RB,8,0,15,100,2,22,1.5,78,5.2,3,5,
131,Mason Rudolph,29,TEN,QB,5,3,15,75,8,67,4.5,8,0.5,0,,
132,Tua Tagovailoa,26,MIA,QB,10,10,15,50,5,50,3.3,0,0,0,,
133,Xavier Worthy,21,KAN,WR,14,11,15,84,4,59,3.9,25,1.7,1,15,
134,Hassan Haskins,25,LAC,RB,14,0,14,26,6,8,0.6,18,1.3,0,,
135,CeeDee Lamb,25,DAL,WR,14,14,14,70,4,37,2.6,33,2.4,1,14,
136,Kenny McIntosh,24,SEA,RB,14,0,14,63,4,36,2.6,27,1.9,0,,
137,Jordan Mims,25,NOR,RB,9,0,14,42,1,25,1.8,17,1.2,0,,
138,Patrick Taylor,26,SFO,RB,10,0,14,50,3,26,1.9,24,1.7,0,,
139,Eric Gray,25,NYG,RB,14,0,13,25,1,14,1.1,11,0.8,0,,
140,Marcus Mariota,31,WAS,QB,2,0,13,36,3,30,2.3,6,0.5,0,,
141,Jase McClellan,22,ATL,RB,2,0,13,32,2,13,1,19,1.5,0,,
142,Dak Prescott,31,DAL,QB,8,8,13,54,5,48,3.7,6,0.5,0,,
143,Craig Reynolds,28,DET,RB,14,0,12,51,3,38,3.2,13,1.1,1,12,
144,Khalil Herbert,26,2TM,RB,11,0,12,38,4,22,1.8,16,1.3,0,,
144,Khalil Herbert,26,CHI,RB,6,0,8,16,3,6,0.8,10,1.3,0,,
144,Khalil Herbert,26,CIN,RB,5,0,4,22,1,16,4,6,1.5,0,,
145,Tyler Badie,24,DEN,RB,3,0,11,86,4,22,2,64,5.8,1,11,
146,Andy Dalton,37,CAR,QB,6,5,11,34,2,15,1.4,19,1.7,1,11,
147,Jake Haener,25,NOR,QB,8,1,11,22,0,22,2,0,0,0,,
148,Marvin Mims,22,DEN,WR,14,1,11,40,3,13,1.2,27,2.5,1,11,
149,Puka Nacua,23,LAR,WR,9,9,11,46,2,24,2.2,22,2,1,11,
150,Mitchell Trubisky,30,BUF,QB,7,0,11,-10,0,-10,-0.9,0,0,0,,
151,Deuce Vaughn,23,DAL,RB,6,0,11,33,0,17,1.5,16,1.5,0,,
152,Drew Lock,28,NYG,QB,5,2,10,129,7,100,10,29,2.9,0,,
153,D.J. Moore,27,CHI,WR,14,14,10,60,3,44,4.4,16,1.6,1,10,
154,Ronnie Rivers,25,LAR,RB,14,0,10,51,5,35,3.5,16,1.6,0,,
155,J.J. Taylor,26,HOU,RB,5,0,10,44,1,34,3.4,10,1,0,,
156,KaVontae Turpin,28,DAL,WR,14,1,10,58,4,35,3.5,23,2.3,2,5,
157,Jonathon Brooks,21,CAR,RB,3,1,9,22,0,8,0.9,14,1.6,1,9,
158,Derius Davis,24,LAC,WR,12,2,9,46,2,29,3.2,17,1.9,0,,
159,Tank Dell,25,HOU,WR,13,9,9,43,3,35,3.9,8,0.9,0,,
160,Alec Ingold,28,MIA,FB,12,7,9,13,5,1,0.1,12,1.3,0,,
161,Hunter Luepke,24,DAL,RB,13,3,9,23,4,8,0.9,15,1.7,0,,
162,Spencer Rattler,24,NOR,QB,4,3,9,61,3,17,1.9,44,4.9,0,,
163,Desmond Ridder,25,LVR,QB,5,1,9,36,2,22,2.4,14,1.6,0,,
164,Jeff Wilson,29,MIA,RB,6,0,9,44,2,20,2.2,24,2.7,0,,
165,Rasheen Ali,23,BAL,RB,3,0,8,32,2,17,2.1,15,1.9,0,,
166,Dalvin Cook,29,DAL,RB,2,0,8,20,0,12,1.5,8,1,0,,
167,DeeJay Dallas,26,ARI,RB,14,0,8,27,3,17,2.1,10,1.3,0,,
168,Tommy DeVito,26,NYG,QB,3,2,8,32,1,28,3.5,4,0.5,0,,
169,Joe Flacco,39,IND,QB,6,4,8,25,2,23,2.9,2,0.3,0,,
170,Tyreek Hill,30,MIA,WR,14,14,8,53,2,45,5.6,8,1,1,8,
171,Ray-Ray McCloud,28,ATL,WR,14,11,8,57,2,31,3.9,26,3.3,0,,
172,Jameson Williams,23,DET,WR,12,8,8,56,4,35,4.4,21,2.6,0,,
173,Zay Flowers,24,BAL,WR,14,12,7,44,1,17,2.4,27,3.9,1,7,
174,Aidan O'Connell,26,LVR,QB,6,4,7,6,3,3,0.4,3,0.4,0,,
175,Sterling Shepard,31,TAM,WR,12,4,7,55,3,45,6.4,10,1.4,0,,
176,Tre Tucker,23,LVR,WR,14,12,7,47,3,38,5.4,9,1.3,0,,
177,Tyson Bagent,24,CHI,QB,4,0,6,-7,0,-7,-1.2,0,0,0,,
178,Mike Boone,29,CAR,RB,3,0,6,21,1,10,1.7,11,1.8,1,6,
179,Michael Burton,32,DEN,FB,14,2,6,5,3,2,0.3,3,0.5,0,,
180,Travis Homer,26,CHI,RB,10,0,6,23,2,16,2.7,7,1.2,0,,
181,Xavier Legette,23,CAR,WR,14,11,6,24,2,18,3,6,1,1,6,
182,MarShawn Lloyd,23,GNB,RB,1,0,6,15,0,12,2,3,0.5,0,,
183,Bo Melton,25,GNB,WR,14,0,6,39,3,28,4.7,11,1.8,1,6,
184,Rashid Shaheed,26,NOR,WR,6,5,6,29,2,21,3.5,8,1.3,0,,
185,Aaron Shampklin,25,PIT,RB,3,0,6,17,1,8,1.3,9,1.5,0,,
186,Dorian Thompson-Robinson,25,CLE,QB,4,0,6,60,4,37,6.2,23,3.8,1,6,
187,Clayton Tune,25,ARI,QB,5,0,6,-6,1,-7,-1.2,1,0.2,0,,
188,Sione Vaki,23,DET,RB,13,0,6,14,0,8,1.3,6,1,0,,
189,Ashton Dulin,27,IND,WR,12,2,5,45,2,27,5.4,18,3.6,1,5,
190,Mecole Hardman,26,KAN,WR,12,0,5,62,2,45,9,17,3.4,2,2.5,
191,Hendon Hooker,26,DET,QB,3,0,5,2,1,2,0.4,0,0,0,,
192,Terrell Jennings,23,NWE,RB,1,0,5,13,0,6,1.2,7,1.4,0,,
193,Malik Nabers,21,NYG,WR,12,11,5,2,1,-4,-0.8,6,1.2,0,,
194,Calvin Ridley,30,TEN,WR,14,11,5,51,3,42,8.4,9,1.8,1,5,
195,Curtis Samuel,28,BUF,WR,13,1,5,14,0,9,1.8,5,1,0,,
196,Brian Thomas,22,JAX,WR,14,13,5,30,2,23,4.6,7,1.4,0,,
197,DJ Turner,27,LVR,WR,12,6,5,33,1,10,2,23,4.6,2,2.5,
198,Jonathan Ward,27,PIT,RB,4,0,5,22,1,12,2.4,10,2,1,5,
199,Brock Bowers,22,LVR,TE,14,13,4,14,2,0,0,14,3.5,1,4,
200,Devin Duvernay,27,JAX,WR,10,1,4,3,1,-4,-1,7,1.8,0,,
201,Josh Johnson,38,BAL,QB,4,0,4,1,0,-1,-0.3,2,0.5,0,,
202,Kyle Juszczyk,33,SFO,FB,14,12,4,20,1,5,1.3,15,3.8,1,4,
203,Trey Lance,24,DAL,QB,2,0,4,14,2,9,2.3,5,1.3,0,,
204,Adonai Mitchell,22,IND,WR,14,7,4,6,1,2,0.5,4,1,0,,
205,Malik Washington,23,MIA,WR,11,1,4,36,1,22,5.5,14,3.5,1,4,
206,Jordan Addison,22,MIN,WR,12,12,3,20,1,10,3.3,10,3.3,1,3,
207,Brandon Allen,32,SFO,QB,3,1,3,4,0,4,1.3,0,0,0,,
208,Stefon Diggs,31,HOU,WR,8,8,3,8,1,6,2,2,0.7,0,,
209,Greg Dortch,26,ARI,WR,14,2,3,16,1,13,4.3,3,1,0,,
210,Darrynton Evans,26,CHI,RB,2,0,3,3,0,2,0.7,1,0.3,0,,
211,Myles Gaskin,27,MIN,RB,5,0,3,-1,0,-2,-0.7,1,0.3,0,,
212,George Holani,25,SEA,RB,3,0,3,10,1,7,2.3,3,1,0,,
213,Quentin Johnston,23,LAC,WR,12,9,3,6,0,1,0.3,5,1.7,1,3,
214,Nick Mullens,29,MIN,QB,4,0,3,-2,0,-2,-0.7,0,0,0,,
215,Jalen Nailor,25,MIN,WR,14,6,3,-4,1,-5,-1.7,1,0.3,0,,
216,Rome Odunze,22,CHI,WR,14,9,3,15,1,6,2,9,3,0,,
217,Kenny Pickett,26,PHI,QB,3,0,3,-1,1,-2,-0.7,1,0.3,0,,
218,Jalen Reagor,25,LAC,WR,8,2,3,-3,0,-4,-1.3,1,0.3,0,,
219,Wan'Dale Robinson,23,NYG,WR,14,6,3,18,1,3,1,15,5,0,,
220,Jaxon Smith-Njigba,22,SEA,WR,14,13,3,17,1,12,4,5,1.7,0,,
221,Jaylen Waddle,26,MIA,WR,14,14,3,6,0,2,0.7,4,1.3,0,,
222,Carson Wentz,32,KAN,QB,2,0,3,0,0,-1,-0.3,1,0.3,0,,
223,Tim Boyle,30,2TM,QB,3,0,3,9,1,8,2.7,1,0.3,0,,
223,Tim Boyle,30,MIA,QB,2,0,2,10,1,9,4.5,1,0.5,0,,
223,Tim Boyle,30,NYG,QB,1,0,1,-1,0,-1,-1,0,0,0,,
224,Mark Andrews,29,BAL,TE,14,10,2,4,2,1,0.5,3,1.5,0,,
225,Tutu Atwell,25,LAR,WR,14,4,2,7,0,6,3,1,0.5,0,,
226,Dyami Brown,25,WAS,WR,14,1,2,18,1,13,6.5,5,2.5,0,,
227,Treylon Burks,24,TEN,WR,5,2,2,1,0,-5,-2.5,6,3,1,2,
228,Ja'Marr Chase,24,CIN,WR,14,14,2,25,2,23,11.5,2,1,0,,
229,Brandin Cooks,31,DAL,WR,7,6,2,2,0,-3,-1.5,5,2.5,0,,
230,Malachi Corley,22,NYJ,WR,8,1,2,26,1,26,13,0,0,0,,
231,Demario Douglas,24,NWE,WR,14,5,2,10,0,6,3,4,2,0,,
232,Troy Franklin,21,DEN,WR,13,6,2,8,0,6,3,2,1,0,,
233,C.J. Ham,31,MIN,FB,14,3,2,10,1,8,4,2,1,0,,
234,Diontae Johnson,28,CAR,WR,7,7,2,6,1,6,3,0,0,0,,
235,Velus Jones Jr.,27,CHI,WR,1,0,2,11,1,6,3,5,2.5,0,,
236,Tucker Kraft,24,GNB,TE,14,14,2,4,2,1,0.5,3,1.5,0,,
237,Cooper Kupp,31,LAR,WR,10,9,2,10,1,9,4.5,1,0.5,0,,
238,Tyreik McAllister,26,LVR,WR,3,0,2,11,1,9,4.5,2,1,0,,
239,Terry McLaurin,29,WAS,WR,14,14,2,2,0,2,1,0,0,0,,
240,Jalen McMillan,23,TAM,WR,10,9,2,28,2,14,7,14,7,1,2,
241,Jakobi Meyers,28,LVR,WR,12,12,2,23,1,10,5,13,6.5,0,,
242,Jonathan Mingo,23,CAR,WR,9,5,2,5,0,4,2,1,0.5,0,,
243,George Pickens,23,PIT,WR,12,10,2,-6,0,-8,-4,2,1,0,,
244,Kalif Raymond,30,DET,WR,11,2,2,0,1,-3,-1.5,3,1.5,0,,
245,Khalil Shakir,24,BUF,WR,13,8,2,4,0,1,0.5,3,1.5,1,2,
246,Jonnu Smith,29,MIA,TE,14,4,2,-1,0,-1,-0.5,0,0,0,,
247,Xavier Smith,27,LAR,WR,12,0,2,30,1,27,13.5,3,1.5,0,,
248,Amon-Ra St. Brown,25,DET,WR,14,14,2,6,1,4,2,2,1,0,,
249,Jarrett Stidham,28,DEN,QB,2,0,2,-2,0,-2,-1,0,0,0,,
250,Kadarius Toney,25,CLE,WR,3,0,2,-4,0,-7,-3.5,3,1.5,1,2,
251,Kyle Trask,26,TAM,QB,3,0,2,-2,0,-2,-1,0,0,0,,
252,Ke'Shawn Vaughn,27,SFO,RB,2,0,2,4,0,2,1,2,1,0,,
253,Christian Watson,25,GNB,WR,13,13,2,0,0,-4,-2,4,2,1,2,
254,Kevin Austin,24,NOR,WR,5,1,1,9,0,8,8,1,1,0,,
255,Jake Bailey,27,MIA,P,14,0,1,0,0,0,0,0,0,0,,
256,Kendrick Bourne,29,NWE,WR,9,6,1,6,1,3,3,3,3,0,,
257,Tyler Boyd,30,TEN,WR,14,8,1,3,1,2,2,1,1,0,,
258,British Brooks,25,HOU,RB,5,0,1,2,0,1,1,1,1,0,,
259,Jake Browning,28,CIN,QB,2,0,1,-1,0,-1,-1,0,0,0,,
260,Tyler Conklin,29,NYJ,TE,13,13,1,0,0,0,0,0,0,0,,
261,Ashtyn Davis,28,NYJ,S,12,0,1,21,1,0,0,21,21,0,,
262,Jahan Dotson,24,PHI,WR,14,5,1,13,1,13,13,0,0,0,,
263,Josh Downs,23,IND,WR,11,7,1,12,0,12,12,0,0,0,,
264,Chris Godwin,28,TAM,WR,7,7,1,2,1,1,1,1,1,0,,
265,Matthew Hayball,27,NOR,P,14,0,1,11,1,11,11,0,0,0,,
266,Taylor Heinicke,31,LAC,QB,3,0,1,12,0,12,12,0,0,0,,
267,Jaden Hicks,22,KAN,DB,14,0,1,1,0,0,0,1,1,0,,
268,Sam Howell,24,SEA,QB,2,0,1,2,0,0,0,2,2,1,1,
269,Tanner Hudson,30,CIN,TE,10,0,1,1,1,0,0,1,1,0,,
270,Jermaine Jackson,24,NOR,WR,4,0,1,-1,0,-1,-1,0,0,0,,
271,Jha'Quan Jackson,24,TEN,WR,12,0,1,-5,0,-5,-5,0,0,0,,
272,Justin Jefferson,25,MIN,WR,14,14,1,3,0,3,3,0,0,0,,
273,Kameron Johnson,22,TAM,WR,4,0,1,0,0,0,0,0,0,0,,
274,Marcus Jones,26,NWE,CB,14,9,1,5,0,5,5,0,0,0,,
275,Travis Kelce,35,KAN,TE,14,14,1,1,0,0,0,1,1,0,,
276,Charlie Kolar,25,BAL,TE,12,3,1,2,1,2,2,0,0,0,,
277,Dylan Laube,25,LVR,RB,7,0,1,0,0,0,0,0,0,0,,
278,Drake London,23,ATL,WR,14,14,1,-3,0,-3,-3,0,0,0,,
279,Trey McBride,25,ARI,TE,13,13,1,2,1,0,0,2,2,0,,
280,Elijah Moore,24,CLE,WR,14,10,1,1,0,1,1,0,0,0,,
281,Chris Olave,24,NOR,WR,8,8,1,7,1,7,7,0,0,0,,
282,Cade Otton,25,TAM,TE,14,14,1,-4,0,-4,-4,0,0,1,1,
283,Ricky Pearsall,24,SFO,WR,8,2,1,39,1,39,39,0,0,0,,
284,Ja'Lynn Polk,22,NWE,WR,13,7,1,0,0,0,0,0,0,0,,
285,Jalen Reeves-Maybin,29,DET,LB,8,0,1,1,0,1,1,0,0,0,,
286,Rashee Rice,24,KAN,WR,4,4,1,1,1,0,0,1,1,0,,
287,Drew Sample,28,CIN,TE,14,12,1,-4,0,-4,-4,0,0,0,,
288,JK Scott,29,LAC,P,14,0,1,0,0,0,0,0,0,0,,
289,Laviska Shenault Jr.,26,SEA,WR,11,1,1,1,0,0,0,1,1,0,,
290,Steven Sims,27,HOU,WR,7,0,1,0,0,0,0,0,0,0,,
291,Darius Slayton,27,NYG,WR,13,10,1,11,1,8,8,3,3,0,,
292,Ainias Smith,23,PHI,WR,5,1,1,2,0,2,2,0,0,0,,
293,DeVonta Smith,26,PHI,WR,11,11,1,1,0,0,0,1,1,0,,
294,Tyrod Taylor,35,NYJ,QB,1,0,1,7,0,5,5,2,2,0,,
295,Tavierre Thomas,28,TAM,CB,14,0,1,-2,0,-2,-2,0,0,0,,
296,Deven Thompkins,25,CAR,WR,6,0,1,-2,0,-2,-2,0,0,0,,
297,Skylar Thompson,27,MIA,QB,3,1,1,4,0,4,4,0,0,0,,
298,Cedric Tillman,24,CLE,WR,11,6,1,-5,0,-5,-5,0,0,0,,
