62,Daniel Jones,27,NYG,QB,10,10,67,265,26,186,2.8,79,1.2,5,13.4,
63,Zamir White,25,LVR,RB,8,5,65,183,4,93,1.4,90,1.4,4,16.3,
64,Tyjae Spears,23,TEN,RB,11,0,64,217,13,87,1.4,130,2,10,6.4,
65,Trey Benson,21,ARI,RB,13,1,63,291,16,157,2.5,134,2.1,4,15.8,
66,Brock Purdy,25,SFO,QB,14,14,63,311,31,250,4,61,1,2,31.5,
67,Justin Fields,25,PIT,QB,10,6,62,289,19,214,3.5,75,1.2,2,31,
68,Justin Herbert,26,LAC,QB,15,15,62,252,19,176,2.8,76,1.2,2,31,
69,Jaylen Wright,21,MIA,RB,13,1,62,253,10,135,2.2,118,1.9,3,20.7,
70,Sam Darnold,27,MIN,QB,15,15,61,205,22,150,2.5,55,0.9,1,61,
71,Kenneth Gainwell,25,PHI,RB,15,0,61,272,12,155,2.5,117,1.9,3,20.3,
72,Patrick Mahomes,29,KAN,QB,15,15,57,295,21,228,4,67,1.2,0,,
73,Trey Sermon,25,IND,RB,15,3,56,159,14,75,1.3,84,1.5,3,18.7,
74,Audric Estime,21,DEN,RB,11,1,55,252,10,111,2,141,2.6,3,18.3,
75,Jeremy McNichols,29,WAS,RB,15,1,54,256,15,94,1.7,162,3,7,7.7,
76,Blake Corum,24,LAR,RB,15,0,53,201,12,118,2.2,83,1.6,0,,
77,Ty Chandler,26,MIN,RB,15,0,51,175,8,126,2.5,49,1,0,,
78,C.J. Stroud,23,HOU,QB,15,15,51,226,14,183,3.6,43,0.8,3,17,
79,Baker Mayfield,29,TAM,QB,15,15,50,308,21,246,4.9,62,1.2,2,25,
80,Christian McCaffrey,28,SFO,RB,4,4,50,202,12,116,2.3,86,1.7,3,16.7,
81,Roschon Johnson,23,CHI,RB,12,0,49,142,16,78,1.6,64,1.3,0,,
82,D'Onta Foreman,28,CLE,RB,9,2,48,156,7,102,2.1,54,1.1,0,,
83,Drake Maye,22,NWE,QB,11,10,48,389,21,303,6.3,86,1.8,2,24,
84,Geno Smith,34,SEA,QB,15,15,48,239,15,221,4.6,18,0.4,0,,
85,Carson Steele,22,KAN,RB,15,2,48,158,14,77,1.6,81,1.7,2,24,
86,Justice Hill,27,BAL,RB,15,0,47,228,14,90,1.9,138,2.9,6,7.8,
87,Ameer Abdullah,31,LVR,RB,15,2,46,196,9,123,2.7,73,1.6,1,46,
88,Will Levis,25,TEN,QB,11,11,41,175,20,122,3,53,1.3,4,10.3,
89,Sean Tucker,23,TAM,RB,15,0,40,253,14,152,3.8,101,2.5,1,40,
90,Taysom Hill,34,NOR,TE,8,8,39,278,18,108,2.8,170,4.4,4,9.8,
91,Sincere McCormick,24,LVR,RB,5,2,39,183,10,90,2.3,93,2.4,5,7.8,
92,Deebo Samuel,28,SFO,WR,14,14,39,120,4,59,1.5,61,1.6,1,39,
93,Miles Sanders,27,CAR,RB,10,1,38,139,9,80,2.1,59,1.6,2,19,
94,Kimani Vidal,23,LAC,RB,8,0,38,131,6,67,1.8,64,1.7,3,12.7,
95,Jamaal Williams,29,NOR,RB,12,0,38,137,9,73,1.9,64,1.7,0,,
96,Joe Burrow,28,CIN,QB,15,15,37,177,14,146,3.9,31,0.8,0,,
97,Kendre Miller,22,NOR,RB,5,1,36,145,11,53,1.5,92,2.6,6,6,
98,Bryce Young,23,CAR,QB,12,10,36,217,11,195,5.4,22,0.6,1,36,
99,Ty Johnson,27,BUF,RB,15,1,35,184,11,102,2.9,82,2.3,1,35,
100,Russell Wilson,36,PIT,QB,9,9,33,84,8,77,2.3,7,0.2,0,,
101,Jared Goff,30,DET,QB,15,15,32,59,9,55,1.7,4,0.1,0,,
102,Tyler Goodson,24,IND,RB,14,0,32,153,6,93,2.9,60,1.9,0,,
103,Deshaun Watson,29,CLE,QB,7,7,31,148,8,109,3.5,39,1.3,1,31,
104,D'Ernest Johnson,28,JAX,RB,12,1,30,117,6,59,2,58,1.9,0,,
105,Cordarrelle Patterson,33,PIT,RB,11,1,30,132,7,45,1.5,87,2.9,3,10,
106,Chris Rodriguez,24,WAS,RB,7,0,30,157,8,57,1.9,100,3.3,1,30,
107,Chris Brooks,24,GNB,RB,13,0,28,124,9,36,1.3,88,3.1,6,4.7,
108,Trevor Lawrence,25,JAX,QB,10,10,26,119,13,89,3.4,30,1.2,2,13,
109,Dare Ogunbowale,30,HOU,RB,15,1,26,103,4,65,2.5,38,1.5,1,26,
110,Cooper Rush,31,DAL,QB,11,7,25,16,4,6,0.2,10,0.4,0,,
111,Jameis Winston,30,CLE,QB,12,7,25,83,17,72,2.9,11,0.4,0,,
112,Emari Demercado,25,ARI,RB,13,0,24,223,8,86,3.6,137,5.7,3,8,
113,Jordan Love,26,GNB,QB,13,13,24,77,9,48,2,29,1.2,0,,
114,Matthew Stafford,36,LAR,QB,15,15,24,25,7,20,0.8,5,0.2,0,,
115,Kirk Cousins,36,ATL,QB,14,14,23,0,2,-8,-0.3,8,0.3,0,,
116,Isaiah Davis,22,NYJ,RB,15,0,23,98,6,38,1.7,60,2.6,3,7.7,
117,Aaron Rodgers,41,NYJ,QB,15,15,22,107,7,102,4.6,5,0.2,1,22,
118,Patrick Taylor,26,SFO,RB,11,1,22,74,3,34,1.5,40,1.8,0,,
119,Pierre Strong,26,CLE,RB,13,0,21,75,4,45,2.1,30,1.4,0,,
120,Jamycal Hasty,28,NWE,RB,14,0,20,69,4,38,1.9,31,1.6,0,,
121,Will Shipley,22,PHI,RB,15,1,20,50,1,24,1.2,26,1.3,0,,
122,Gardner Minshew II,28,LVR,QB,10,9,19,58,5,45,2.4,13,0.7,0,,
123,Mason Rudolph,29,TEN,QB,6,4,19,78,9,67,3.5,11,0.6,0,,
124,Malik Willis,25,GNB,QB,6,2,19,135,6,89,4.7,46,2.4,3,6.3,
125,Jordan Mims,25,NOR,RB,10,0,18,58,1,38,2.1,20,1.1,0,,
126,Xavier Worthy,21,KAN,WR,15,12,18,94,4,66,3.7,28,1.6,1,18,
127,Derek Carr,33,NOR,QB,10,10,17,71,4,66,3.9,5,0.3,0,,
128,Julius Chestnut,24,TEN,RB,15,0,17,74,1,36,2.1,38,2.2,2,8.5,
129,Mac Jones,26,JAX,QB,8,5,17,53,6,34,2,19,1.1,0,,
130,Kenny McIntosh,24,SEA,RB,15,0,17,77,5,44,2.6,33,1.9,0,,
131,Samaje Perine,29,KAN,RB,15,0,17,82,7,48,2.8,34,2,0,,
132,Jayden Reed,24,GNB,WR,15,9,17,160,7,112,6.6,48,2.8,2,8.5,
133,Tua Tagovailoa,26,MIA,QB,11,11,17,49,5,49,2.9,0,0,0,,
134,Tyler Huntley,26,MIA,QB,3,3,16,67,6,60,3.8,7,0.4,0,,
135,Dameon Pierce,24,HOU,RB,9,0,16,104,2,24,1.5,80,5,3,5.3,
136,Craig Reynolds,28,DET,RB,15,0,16,69,4,50,3.1,19,1.2,1,16,
137,Jacoby Brissett,32,NWE,QB,7,5,15,62,5,49,3.3,13,0.9,0,,
138,Dorian Thompson-Robinson,25,CLE,QB,5,1,15,109,7,86,5.7,23,1.5,1,15,
139,Hassan Haskins,25,LAC,RB,15,0,14,26,6,8,0.6,18,1.3,0,,
140,CeeDee Lamb,25,DAL,WR,15,15,14,70,4,37,2.6,33,2.4,1,14,
141,Aidan O'Connell,26,LVR,QB,7,5,14,18,7,9,0.6,9,0.6,0,,
142,Spencer Rattler,24,NOR,QB,5,4,14,89,4,45,3.2,44,3.1,0,,
143,Eric Gray,25,NYG,RB,15,0,13,25,1,14,1.1,11,0.8,0,,
144,Marcus Mariota,31,WAS,QB,2,0,13,36,3,30,2.3,6,0.5,0,,
145,Jase McClellan,22,ATL,RB,2,0,13,32,2,13,1,19,1.5,0,,
146,Dak Prescott,31,DAL,QB,8,8,13,54,5,48,3.7,6,0.5,0,,
147,KaVontae Turpin,28,DAL,WR,15,2,13,69,5,41,3.2,28,2.2,2,6.5,
148,Marvin Mims,22,DEN,WR,15,1,12,43,3,15,1.3,28,2.3,1,12,
149,Khalil Herbert,26,2TM,RB,12,0,12,38,4,22,1.8,16,1.3,0,,
149,Khalil Herbert,26,CHI,RB,6,0,8,16,3,6,0.8,10,1.3,0,,
149,Khalil Herbert,26,CIN,RB,6,0,4,22,1,16,4,6,1.5,0,,
150,Tyler Badie,24,DEN,RB,3,0,11,86,4,22,2,64,5.8,1,11,
151,Andy Dalton,37,CAR,QB,6,5,11,34,2,15,1.4,19,1.7,1,11,
152,Jake Haener,25,NOR,QB,8,1,11,22,0,22,2,0,0,0,,
153,Drew Lock,28,NYG,QB,6,3,11,130,7,100,9.1,30,2.7,0,,
154,D.J. Moore,27,CHI,WR,15,15,11,62,3,45,4.1,17,1.5,1,11,
155,Puka Nacua,23,LAR,WR,10,10,11,46,2,24,2.2,22,2,1,11,
156,Mitchell Trubisky,30,BUF,QB,7,0,11,-10,0,-10,-0.9,0,0,0,,
157,Deuce Vaughn,23,DAL,RB,6,0,11,33,0,17,1.5,16,1.5,0,,
158,Jeff Wilson,29,MIA,RB,7,0,11,56,3,27,2.5,29,2.6,0,,
159,Derius Davis,24,LAC,WR,13,2,10,43,2,26,2.6,17,1.7,0,,
160,Alec Ingold,28,MIA,FB,13,8,10,17,6,3,0.3,14,1.4,0,,
161,Ronnie Rivers,25,LAR,RB,15,0,10,51,5,35,3.5,16,1.6,0,,
162,J.J. Taylor,26,HOU,RB,5,0,10,44,1,34,3.4,10,1,0,,
163,Rasheen Ali,23,BAL,RB,4,0,9,34,2,19,2.1,15,1.7,0,,
164,Jonathon Brooks,21,CAR,RB,3,1,9,22,0,8,0.9,14,1.6,1,9,
165,Tank Dell,25,HOU,WR,14,10,9,43,3,35,3.9,8,0.9,0,,
166,Hunter Luepke,24,DAL,RB,14,3,9,23,4,8,0.9,15,1.7,0,,
167,Ray-Ray McCloud,28,ATL,WR,15,12,9,65,2,38,4.2,27,3,0,,
168,Desmond Ridder,25,LVR,QB,5,1,9,36,2,22,2.4,14,1.6,0,,
169,Jameson Williams,23,DET,WR,13,9,9,63,4,42,4.7,21,2.3,0,,
170,Dalvin Cook,29,DAL,RB,2,0,8,20,0,12,1.5,8,1,0,,
171,DeeJay Dallas,26,ARI,RB,15,0,8,27,3,12,1.5,15,1.9,0,,
172,Tommy DeVito,26,NYG,QB,3,2,8,32,1,28,3.5,4,0.5,0,,
173,Joe Flacco,39,IND,QB,6,4,8,25,2,23,2.9,2,0.3,0,,
174,Zay Flowers,24,BAL,WR,15,13,8,47,1,20,2.5,27,3.4,1,8,
175,Tyreek Hill,30,MIA,WR,15,15,8,53,2,45,5.6,8,1,1,8,
176,Sterling Shepard,31,TAM,WR,13,4,8,69,4,48,6,21,2.6,1,8,
177,Tre Tucker,23,LVR,WR,15,13,8,39,3,30,3.8,9,1.1,0,,
178,Mike Boone,29,CAR,RB,4,0,7,22,1,11,1.6,11,1.6,1,7,
179,Bo Melton,25,GNB,WR,15,0,7,53,4,35,5,18,2.6,2,3.5,
180,Tyson Bagent,24,CHI,QB,4,0,6,-7,0,-7,-1.2,0,0,0,,
181,Michael Burton,32,DEN,FB,15,2,6,5,3,2,0.3,3,0.5,0,,
182,Travis Homer,26,CHI,RB,10,0,6,23,2,16,2.7,7,1.2,0,,
183,Xavier Legette,23,CAR,WR,14,11,6,24,2,18,3,6,1,1,6,
184,MarShawn Lloyd,23,GNB,RB,1,0,6,15,0,12,2,3,0.5,0,,
185,Kenny Pickett,26,PHI,QB,4,0,6,12,1,11,1.8,1,0.2,0,,
186,Rashid Shaheed,26,NOR,WR,6,5,6,29,2,21,3.5,8,1.3,0,,
187,Aaron Shampklin,25,PIT,RB,3,0,6,17,1,8,1.3,9,1.5,0,,
188,Clayton Tune,25,ARI,QB,5,0,6,-6,1,-7,-1.2,1,0.2,0,,
189,Sione Vaki,23,DET,RB,14,0,6,14,0,8,1.3,6,1,0,,
190,Michael Carter,25,ARI,RB,1,0,5,18,1,7,1.4,11,2.2,0,,
191,Ashton Dulin,27,IND,WR,13,2,5,45,2,27,5.4,18,3.6,1,5,
192,Mecole Hardman,26,KAN,WR,12,0,5,62,2,45,9,17,3.4,2,2.5,
193,Hendon Hooker,26,DET,QB,3,0,5,2,1,2,0.4,0,0,0,,
194,Terrell Jennings,23,NWE,RB,2,0,5,13,0,6,1.2,7,1.4,0,,
195,Kyle Juszczyk,33,SFO,FB,15,13,5,26,1,9,1.8,17,3.4,1,5,
196,Malik Nabers,21,NYG,WR,13,12,5,2,1,-4,-0.8,6,1.2,0,,
197,Calvin Ridley,30,TEN,WR,15,12,5,51,3,42,8.4,9,1.8,1,5,
198,Curtis Samuel,28,BUF,WR,13,1,5,14,0,9,1.8,5,1,0,,
199,Brian Thomas,22,JAX,WR,15,14,5,30,2,23,4.6,7,1.4,0,,
200,DJ Turner,27,LVR,WR,12,6,5,33,1,10,2,23,4.6,2,2.5,
201,Jonathan Ward,27,PIT,RB,4,0,5,22,1,12,2.4,10,2,1,5,
202,Brock Bowers,22,LVR,TE,15,14,4,14,2,0,0,14,3.5,1,4,
203,Greg Dortch,26,ARI,WR,15,3,4,24,1,18,4.5,6,1.5,0,,
204,Devin Duvernay,27,JAX,WR,11,1,4,3,1,-4,-1,7,1.8,0,,
205,Josh Johnson,38,BAL,QB,4,0,4,1,0,-1,-0.3,2,0.5,0,,
206,Trey Lance,24,DAL,QB,2,0,4,14,2,9,2.3,5,1.3,0,,
207,Adonai Mitchell,22,IND,WR,15,7,4,6,1,2,0.5,4,1,0,,
208,Michael Penix,24,ATL,QB,3,1,4,3,0,2,0.5,1,0.3,0,,
209,Jaxon Smith-Njigba,22,SEA,WR,15,14,4,22,1,14,3.5,8,2,0,,
210,Malik Washington,23,MIA,WR,12,2,4,36,1,22,5.5,14,3.5,1,4,
211,Blake Watson,25,DEN,RB,2,0,4,10,2,7,1.8,3,0.8,0,,
212,Christian Watson,25,GNB,WR,14,14,4,23,1,19,4.8,4,1,1,4,
213,Jordan Addison,22,MIN,WR,13,13,3,20,1,10,3.3,10,3.3,1,3,
214,Brandon Allen,32,SFO,QB,3,1,3,4,0,4,1.3,0,0,0,,
215,Mark Andrews,29,BAL,TE,15,11,3,5,3,1,0.3,4,1.3,0,,
216,Raheem Blackshear,25,CAR,RB,14,0,3,13,0,5,1.7,8,2.7,0,,
217,Ja'Marr Chase,24,CIN,WR,15,14,3,32,2,30,10,2,0.7,0,,
218,Stefon Diggs,31,HOU,WR,8,8,3,8,1,6,2,2,0.7,0,,
219,Demario Douglas,24,NWE,WR,15,6,3,16,0,12,4,4,1.3,0,,
220,Darrynton Evans,26,CHI,RB,3,0,3,3,0,2,0.7,1,0.3,0,,
221,Myles Gaskin,27,MIN,RB,5,0,3,-1,0,-2,-0.7,1,0.3,0,,
222,George Holani,25,SEA,RB,3,0,3,10,1,7,2.3,3,1,0,,
223,Jermar Jefferson,24,DET,RB,1,0,3,13,1,7,2.3,6,2,0,,
224,Quentin Johnston,23,LAC,WR,13,9,3,6,0,1,0.3,5,1.7,1,3,
225,Tucker Kraft,24,GNB,TE,15,15,3,6,3,3,1,3,1,0,,
226,Nick Mullens,29,MIN,QB,4,0,3,-2,0,-2,-0.7,0,0,0,,
227,Jalen Nailor,25,MIN,WR,15,7,3,-4,1,-5,-1.7,1,0.3,0,,
228,Rome Odunze,22,CHI,WR,15,10,3,15,1,6,2,9,3,0,,
229,Jalen Reagor,25,LAC,WR,8,2,3,-3,0,-4,-1.3,1,0.3,0,,
230,Wan'Dale Robinson,23,NYG,WR,15,7,3,18,1,3,1,15,5,0,,
231,Jaylen Waddle,26,MIA,WR,14,14,3,6,0,2,0.7,4,1.3,0,,
232,Carson Wentz,32,KAN,QB,2,0,3,0,0,-1,-0.3,1,0.3,0,,
233,Tim Boyle,30,2TM,QB,3,0,3,9,1,8,2.7,1,0.3,0,,
233,Tim Boyle,30,MIA,QB,2,0,2,10,1,9,4.5,1,0.5,0,,
233,Tim Boyle,30,NYG,QB,1,0,1,-1,0,-1,-1,0,0,0,,
234,Tutu Atwell,25,LAR,WR,15,4,2,7,0,6,3,1,0.5,0,,
235,Dyami Brown,25,WAS,WR,15,2,2,18,1,13,6.5,5,2.5,0,,
236,Jake Browning,28,CIN,QB,3,0,2,-2,0,-2,-1,0,0,0,,
237,Treylon Burks,24,TEN,WR,5,2,2,1,0,-5,-2.5,6,3,1,2,
238,Brandin Cooks,31,DAL,WR,8,7,2,2,0,-3,-1.5,5,2.5,0,,
239,Malachi Corley,22,NYJ,WR,8,1,2,26,1,26,13,0,0,0,,
240,Troy Franklin,21,DEN,WR,14,6,2,8,0,6,3,2,1,0,,
241,C.J. Ham,31,MIN,FB,15,3,2,10,1,8,4,2,1,0,,
242,Diontae Johnson,28,CAR,WR,7,7,2,6,1,6,3,0,0,0,,
243,Velus Jones Jr.,27,CHI,WR,1,0,2,11,1,6,3,5,2.5,0,,
244,Cooper Kupp,31,LAR,WR,11,10,2,10,1,9,4.5,1,0.5,0,,
245,Tyreik McAllister,26,LVR,WR,3,0,2,11,1,9,4.5,2,1,0,,
246,Terry McLaurin,29,WAS,WR,15,15,2,2,0,2,1,0,0,0,,
247,Jalen McMillan,23,TAM,WR,11,10,2,28,2,14,7,14,7,1,2,
248,Jakobi Meyers,28,LVR,WR,13,13,2,23,1,10,5,13,6.5,0,,
249,Jonathan Mingo,23,CAR,WR,9,5,2,5,0,4,2,1,0.5,0,,
250,George Pickens,23,PIT,WR,12,10,2,-6,0,-8,-4,2,1,0,,
251,Kalif Raymond,30,DET,WR,11,2,2,0,1,-3,-1.5,3,1.5,0,,
252,Khalil Shakir,24,BUF,WR,14,8,2,4,0,1,0.5,3,1.5,1,2,
253,Darius Slayton,27,NYG,WR,14,11,2,17,1,12,6,5,2.5,0,,
254,Jonnu Smith,29,MIA,TE,15,5,2,-1,0,-1,-0.5,0,0,0,,
255,Xavier Smith,27,LAR,WR,13,0,2,30,1,27,13.5,3,1.5,0,,
256,Amon-Ra St. Brown,25,DET,WR,15,15,2,6,1,4,2,2,1,0,,
257,Jarrett Stidham,28,DEN,QB,2,0,2,-2,0,-2,-1,0,0,0,,
258,Deven Thompkins,25,CAR,WR,7,0,2,7,0,5,2.5,2,1,0,,
259,Kadarius Toney,25,CLE,WR,3,0,2,-4,0,-7,-3.5,3,1.5,1,2,
260,Kyle Trask,26,TAM,QB,3,0,2,-2,0,-2,-1,0,0,0,,
261,Ke'Shawn Vaughn,27,SFO,RB,3,0,2,4,0,2,1,2,1,0,,
262,Kevin Austin,24,NOR,WR,6,1,1,9,0,8,8,1,1,0,,
263,Jake Bailey,27,MIA,P,15,0,1,0,0,0,0,0,0,0,,
264,Kendrick Bourne,29,NWE,WR,10,7,1,6,1,3,3,3,3,0,,
265,Tyler Boyd,30,TEN,WR,15,8,1,3,1,2,2,1,1,0,,
266,British Brooks,25,HOU,RB,5,0,1,2,0,1,1,1,1,0,,
267,Tyler Conklin,29,NYJ,TE,14,13,1,0,0,0,0,0,0,0,,
268,Ashtyn Davis,28,NYJ,S,13,0,1,21,1,0,0,21,21,0,,
269,Jahan Dotson,24,PHI,WR,15,5,1,13,1,13,13,0,0,0,,
270,Josh Downs,23,IND,WR,12,7,1,12,0,12,12,0,0,0,,
271,Chris Godwin,28,TAM,WR,7,7,1,2,1,1,1,1,1,0,,
272,Matthew Hayball,27,NOR,P,15,0,1,11,1,11,11,0,0,0,,
273,Taylor Heinicke,31,LAC,QB,3,0,1,12,0,12,12,0,0,0,,
274,Jaden Hicks,22,KAN,DB,15,0,1,1,0,0,0,1,1,0,,
275,Sam Howell,24,SEA,QB,2,0,1,2,0,0,0,2,2,1,1,
276,Tanner Hudson,30,CIN,TE,10,0,1,1,1,0,0,1,1,0,,
277,Jermaine Jackson,24,NOR,WR,4,0,1,-1,0,-1,-1,0,0,0,,
278,Jha'Quan Jackson,24,TEN,WR,12,0,1,-5,0,-5,-5,0,0,0,,
279,Justin Jefferson,25,MIN,WR,15,15,1,3,0,3,3,0,0,0,,
280,Kameron Johnson,22,TAM,WR,4,0,1,0,0,0,0,0,0,0,,
281,Marcus Jones,26,NWE,CB,14,9,1,5,0,5,5,0,0,0,,
282,Travis Kelce,35,KAN,TE,15,15,1,1,0,0,0,1,1,0,,
283,Charlie Kolar,25,BAL,TE,12,3,1,2,1,2,2,0,0,0,,
284,Dylan Laube,25,LVR,RB,8,0,1,0,0,0,0,0,0,0,,
285,Drake London,23,ATL,WR,15,15,1,-3,0,-3,-3,0,0,0,,
286,Julian Love,26,SEA,FS,15,15,1,2,1,0,0,2,2,0,,
287,Trey McBride,25,ARI,TE,14,14,1,2,1,0,0,2,2,0,,
288,David Moore,29,CAR,WR,15,5,1,0,0,0,0,0,0,0,,
289,Elijah Moore,24,CLE,WR,15,11,1,1,0,1,1,0,0,0,,
290,Chris Olave,24,NOR,WR,8,8,1,7,1,7,7,0,0,0,,
291,Cade Otton,25,TAM,TE,14,14,1,-4,0,-4,-4,0,0,1,1,
292,Ricky Pearsall,24,SFO,WR,9,2,1,39,1,39,39,0,0,0,,
293,Dell Pettus,23,NWE,S,15,1,1,2,1,2,2,0,0,0,,
294,Ja'Lynn Polk,22,NWE,WR,14,7,1,0,0,0,0,0,0,0,,
295,Jalen Reeves-Maybin,29,DET,LB,8,0,1,1,0,1,1,0,0,0,,
296,Rashee Rice,24,KAN,WR,4,4,1,1,1,0,0,1,1,0,,
297,Drew Sample,28,CIN,TE,15,13,1,-4,0,-4,-4,0,0,0,,
298,JK Scott,29,LAC,P,15,0,1,0,0,0,0,0,0,0,,
