,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
89,Miles Sanders,27,CAR,RB,10,1,38,139,9,80,2.1,59,1.6,2,19,
90,Ameer Abdullah,31,LVR,RB,13,2,36,150,7,98,2.7,52,1.4,1,36,
91,Joe Burrow,28,CIN,QB,13,13,35,158,13,127,3.6,31,0.9,0,,
92,Jamaal Williams,29,NOR,RB,10,0,35,129,9,68,1.9,61,1.7,0,,
93,Sean Tucker,23,TAM,RB,13,0,33,236,12,146,4.4,90,2.7,1,33,
94,Sincere McCormick,24,LVR,RB,4,1,32,175,9,84,2.6,91,2.8,5,6.4,
95,Deebo Samuel,28,SFO,WR,12,12,32,92,3,42,1.3,50,1.6,1,32,
96,Deshaun Watson,29,CLE,QB,7,7,31,148,8,109,3.5,39,1.3,1,31,
97,D'Ernest Johnson,28,JAX,RB,11,1,30,117,6,59,2,58,1.9,0,,
98,Kimani Vidal,23,LAC,RB,6,0,30,98,5,44,1.5,54,1.8,2,15,
99,Jared Goff,30,DET,QB,13,13,29,47,8,44,1.5,3,0.1,0,,
100,Cordarrelle Patterson,33,PIT,RB,9,1,28,123,6,38,1.4,85,3,3,9.3,
101,Bryce Young,23,CAR,QB,10,8,28,137,7,121,4.3,16,0.6,1,28,
102,Tyler Goodson,24,IND,RB,12,0,27,128,4,82,3,46,1.7,0,,
103,Ty Johnson,27,BUF,RB,13,1,27,145,10,84,3.1,61,2.3,0,,
104,Trevor Lawrence,25,JAX,QB,10,10,26,119,13,89,3.4,30,1.2,2,13,
105,Chris Rodriguez,24,WAS,RB,5,0,26,150,8,55,2.1,95,3.7,1,26,
106,Russell Wilson,36,PIT,QB,7,7,26,44,6,37,1.4,7,0.3,0,,
107,Dare Ogunbowale,30,HOU,RB,13,1,25,68,3,30,1.2,38,1.5,1,25,
108,Emari Demercado,25,ARI,RB,13,0,24,223,8,86,3.6,137,5.7,3,8,
109,Jameis Winston,30,CLE,QB,11,6,23,85,17,74,3.2,11,0.5,0,,
110,Jordan Love,26,GNB,QB,11,11,22,71,8,46,2.1,25,1.1,0,,
111,Chris Brooks,24,GNB,RB,11,0,21,95,6,29,1.4,66,3.1,3,7,
